"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,15.2,19,12,59,32.8,18.4,0,1000.7
1979-01-02,7.7,13,-2,64,29.9,19.5,3,1002.4
1979-01-03,-1.9,0,-4,43,20,13.4,0.3,1016.7
1979-01-04,4.3,11,-6,66,39.8,16.4,6.1,1015
1979-01-05,12.1,16,9,80,35,12.8,0,1010.1
1979-01-06,10,12,8,86,11.8,5.2,0,1018.7
1979-01-07,8,11,5,66,25.8,15.8,0,1024.7
1979-01-08,5.2,9,2,72,18.8,10.9,0,1032.1
1979-01-09,9.4,13,1,82,17.1,10.9,NA,1022.7
1979-01-10,13.4,16,6,80,20,15.9,2,1009.9
1979-01-11,12.1,15,10,74,28.9,16.4,0,1002.4
1979-01-12,8.7,13,4,72,23.9,13.6,0.8,998.6
1979-01-13,4.4,9,1,73,9.9,3.9,0,1006.1
1979-01-14,3,7,1,58,25.1,10,0,1013.3
1979-01-15,4.1,7,0,47,20,13.3,0.3,1017
1979-01-16,2.6,6,1,65,16.9,11.2,0,1015.5
1979-01-17,2.1,6,0,70,14,7.3,0,1014.6
1979-01-18,2.6,7,0,70,8,4.3,0,1018.8
1979-01-19,4.3,8,1,76,8.9,5.6,0,1022.1
1979-01-20,7.2,10,5,75,9.9,5.7,0,1021.4
1979-01-21,7.2,12,3,81,2.9,0.5,0,1022.3
1979-01-22,9.9,13,4,84,8.9,3.9,0,1023.7
1979-01-23,12.6,14,11,86,17.9,11.2,1,1015.8
1979-01-24,13.3,18,11,87,16.9,6.5,5.3,1006.6
1979-01-25,12,14,8,92,22,12.7,3,1003.1
1979-01-26,12.2,14,8,88,16.9,3,0,1005.9
1979-01-27,10.1,15,5,86,15.9,4.8,0,1012.4
1979-01-28,13.8,16,11,92,19.8,13.1,0,1008.2
1979-01-29,14,18,10,79,31.9,16.8,1,1004.1
1979-01-30,10,13,8,71,18.8,11.7,NA,1011.2
1979-01-31,9.1,13,5,78,22,14.1,NA,1010
1979-02-01,6.7,12,3,63,11.8,3.9,0,1018.9
1979-02-02,9.2,13,5,77,15,9.8,0,1014.7
1979-02-03,11.2,12,9,83,11.1,7.7,0.5,1009
1979-02-04,12.3,13,11,90,12,8.2,3,1005.7
1979-02-05,12.4,15,11,91,20,8.6,0.3,1001.9
1979-02-06,12,14,10,81,13,8.6,0.5,996.8
1979-02-07,10.6,13,9,65,22,13.1,0,1005.8
1979-02-08,10,12,9,83,12,9,30,1001
1979-02-09,8.2,13,3,76,7,1.2,0,1010.5
1979-02-10,14.6,22,11,67,24.1,12.9,0,1003.9
1979-02-11,14.8,19,12,75,19.8,10.1,0,1003.5
1979-02-12,14.6,19,12,87,28,14.8,0,996.5
1979-02-13,12.6,16,10,86,28,18.2,NA,999.5
1979-02-14,10.9,15,10,85,18.1,13.3,0.3,997
