"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,12.9,17,6,60,25.8,13.7,0,992.3
1979-01-02,-0.3,6,-4,83,28,17,4.1,1008.1
1979-01-03,-5.8,1,-10,78,11.8,3.2,0,1020.1
1979-01-04,-2.3,3,-11,88,11.8,2.1,4.1,1012
1979-01-05,1.2,2,-2,85,4.9,2.3,3,1015
1979-01-06,1.8,2,1,79,5.8,2.2,0,1024.1
1979-01-07,0.9,5,-4,79,4.9,2.7,0,1033.8
1979-01-08,-1.3,5,-6,91,3.9,1.2,0,1034.5
1979-01-09,1.8,6,-1,93,7,0.6,5.1,1020.1
1979-01-10,3.4,7,1,89,4.1,1.5,5.3,1005.8
1979-01-11,7.6,15,1,75,17.1,6.1,1,992.2
1979-01-12,3.7,7,0,72,12.8,4.1,0.5,999.2
1979-01-13,3.1,6,-2,59,10.9,5.6,0,1010.4
1979-01-14,1.2,6,-4,69,9.9,4.6,2,1020.7
1979-01-15,-0.8,5,-6,73,8.9,3.8,0,1022.6
1979-01-16,1.7,4,-3,68,12.8,5.4,0,1021.2
1979-01-17,0.4,4,-4,85,12.8,4.5,2,1019.7
1979-01-18,-2.2,3,-6,87,8,2.9,0,1023
1979-01-19,-3.4,2,-9,85,5.8,1.9,0,1026
1979-01-20,1.1,4,-5,78,3.9,0.3,0,1024.4
1979-01-21,2,3,0,97,3.9,0.2,4.1,1023.9
1979-01-22,3.2,5,2,97,3.9,0.2,2,1023.7
1979-01-23,3.6,5,2,99,4.9,1,14,1015.6
1979-01-24,7.3,13,4,94,9.9,0.8,0,1006.4
1979-01-25,6.8,11,5,93,8.9,3.9,1,1002.1
1979-01-26,6.6,10,5,91,5.8,1.1,0,1005.7
1979-01-27,12.8,18,5,70,15,7,0,1005.5
1979-01-28,18.5,22,12,53,25.1,9.9,0,997.8
1979-01-29,13.9,18,8,69,15,7.7,2,997
1979-01-30,9.6,15,5,69,10.9,6.1,0,1004.8
1979-01-31,5.2,7,1,90,21,6.9,5.1,1009.8
1979-02-01,7.2,20,-2,65,12.8,5.5,0,1017.7
1979-02-02,10.2,16,5,63,14,4.9,0,1009.9
1979-02-03,7.3,11,6,92,7,2.3,7.1,1006.4
1979-02-04,7.9,10,6,88,7,2.1,0.5,1006.3
1979-02-05,10.2,13,8,92,10.9,2.9,10.9,998.8
1979-02-06,6.8,10,3,97,15.9,6.3,1,1004.2
1979-02-07,6,9,2,89,4.1,1.5,0.5,1009.3
1979-02-08,6.6,8,4,94,9.9,2.8,1,1006.9
1979-02-09,7.5,11,4,95,6,2.1,2,1008
1979-02-10,7.6,17,5,97,15.9,4.5,2,998.6
1979-02-11,9.3,15,3,93,12.8,4.8,0,1000.1
1979-02-12,7.5,10,4,97,7,3.2,0,992.8
1979-02-13,9.6,14,6,87,8,4.1,1,993.9
1979-02-14,8.6,11,5,93,7,1.7,3,992.9
1979-02-15,7.6,13,2,93,6,1.5,0.5,997.4
1979-02-16,9.8,14,6,93,17.9,6.1,13,1000.4
1979-02-17,10.4,15,7,87,5.8,2.2,0.3,1004.3
1979-02-18,8.9,10,7,92,18.8,11,23.1,1005
1979-02-19,8.6,10,7,90,13,7.1,17,1011.9
1979-02-20,7.4,17,3,78,7,3.2,0.3,1023.6
1979-02-21,6.4,8,5,75,11.8,5.1,0,1025.1
1979-02-22,4.2,6,1,86,11.8,3.6,0,1024.5
1979-02-23,4,8,0,87,7,1.1,0,1022
1979-02-24,7.2,9,1,75,15,6,0,1023
1979-02-25,4.2,10,-2,71,14,4.5,0,1026.6
1979-02-26,3.8,6,1,65,16.9,13.2,0,1026.2
1979-02-27,2.6,5,0,81,15,8.4,5.1,1021.8
1979-02-28,3.6,8,1,77,11.1,6.7,2,1017.8
1979-03-01,4.1,12,-1,79,5.8,2,0,1018.4
1979-03-02,4.4,8,-2,94,14,4.8,1,1025.6
1979-03-03,7.4,9,6,93,15,8.3,23.1,1028.3
1979-03-04,8.8,12,4,84,5.8,1.9,0.5,1029.2
1979-03-05,7.3,12,1,87,8,3,0,1024.5
1979-03-06,7.2,12,3,93,9.9,3.1,0,1020.4
1979-03-07,9.2,15,2,78,4.9,2.1,0,1018.3
1979-03-08,10.4,18,8,82,15,5.8,0,1019.2
1979-03-09,8.1,15,1,83,8.9,4.1,0,1020.9
1979-03-10,11.8,18,4,72,10.9,5,0,1009.9
1979-03-11,10.9,18,7,85,9.9,3.5,0,1011
1979-03-12,8.9,17,4,92,5.8,1.4,0,1011.9
1979-03-13,8.4,11,5,99,4.9,1.4,0,1014.1
1979-03-14,13.7,20,7,72,9.9,6.2,0,1011.4
1979-03-15,12.3,14,7,92,18.8,8.6,0,1003.7
1979-03-16,13.3,17,11,63,16.9,10.6,1,994.7
1979-03-17,13.4,18,8,54,19.8,10.7,0,1006.7
1979-03-18,13.1,19,8,65,9.9,3.6,0.3,1007.5
1979-03-19,10.7,16,5,73,9.9,3.7,0,1006.2
1979-03-20,9.7,14,5,80,10.9,3.7,2,1006.8
1979-03-21,13.2,19,6,59,15,7.5,0,1010.6
1979-03-22,10.7,15,5,79,13,3.6,5.6,1012.7
1979-03-23,11.4,19,4,67,11.1,4.7,0,1016.2
1979-03-24,10.9,15,6,76,8,3.3,0,1018.1
1979-03-25,11.1,21,4,75,8.9,2,0,1020.4
1979-03-26,13.9,16,12,71,5.8,1.8,0.5,1012.9
1979-03-27,15.8,22,11,72,14,7.7,6.1,1003
1979-03-28,13.4,18,9,68,15,8.6,0,998.6
1979-03-29,10.1,17,6,69,17.9,9.9,4.1,994.2
1979-03-30,9.2,15,5,69,15,9.1,0.5,999.1
1979-03-31,9.8,16,4,71,13,6.8,0,1006
1979-04-01,8.4,15,1,77,8,2.2,0,1008.8
1979-04-02,8,12,3,83,15,5,0,1008.8
1979-04-03,9.7,17,2,70,7,2.7,0,1003.7
1979-04-04,12.2,17,5,64,21,8.8,1,1004.2
1979-04-05,10.1,16,5,82,11.8,4.1,4.3,1006.5
1979-04-06,8.4,15,2,80,10.9,5,8.1,1004.4
1979-04-07,8.1,12,5,81,14,5.5,5.3,1006.9
1979-04-08,10.5,15,5,65,8,3.7,0,1013.9
1979-04-09,10.2,18,2,74,8.9,3.6,0,1015.7
1979-04-10,10.7,18,3,78,8.9,3,5.1,1013
1979-04-11,12.9,18,7,78,11.8,4,0,1009
1979-04-12,11.5,14,8,88,15.9,5,0,1010.5
1979-04-13,9.9,15,3,83,8.9,3.1,0,1015.7
1979-04-14,11.6,18,4,80,7,2.8,0,1016.7
1979-04-15,12.3,18,5,88,10.9,3.4,0,1020.4
1979-04-16,13.4,17,8,90,9.9,3.9,0,1017.9
1979-04-17,13.2,14,11,88,9.9,3.2,1.3,1006.9
1979-04-18,12.5,14,11,83,11.8,6.5,3,1008.3
1979-04-19,10.6,13,6,73,10.9,5.5,0,1019.5
1979-04-20,7.9,13,2,74,8,3,0,1019.3
1979-04-21,8.2,14,1,77,8.9,3.6,0,1015.1
1979-04-22,11.3,16,1,78,7,3.4,0,1013.1
1979-04-23,13.8,21,3,68,12.8,5,0,1013.2
1979-04-24,16.1,18,13,67,15,7.2,0,1007
1979-04-25,14,20,9,77,15,4.8,9.9,1006.9
1979-04-26,12.2,18,5,77,12.8,5,1,1010.7
1979-04-27,10.4,15,5,89,7,2.1,6.1,1012.7
1979-04-28,11,15,4,85,8,3,0,1011.8
1979-04-29,11.4,16,7,83,8,2.9,0,1012.7
1979-04-30,14.1,20,6,70,16.9,7.1,0,1014
1979-05-01,15.4,19,9,73,12.8,8,0,1012
1979-05-02,16.9,20,12,68,17.9,10.4,0,1009.1
1979-05-03,17.1,22,10,60,14,9.7,0,1009.5
1979-05-04,13.2,18,5,71,9.9,5.1,0,1014.5
1979-05-05,11.9,16,7,77,10.9,5,0,1016.7
1979-05-06,11.4,17,5,80,9.9,3.6,0,1020.1
1979-05-07,12.8,18,8,83,11.8,3.2,0,1018.9
1979-05-08,12.2,16,6,77,11.8,5.8,0,1019.8
1979-05-09,12.4,18,5,79,8.9,3.1,0,1018.3
1979-05-10,14.5,19,8,77,12,5.8,0,1017.8
1979-05-11,15.1,20,9,75,9.9,3,0,1020.3
1979-05-12,15.1,21,8,74,8.9,3.4,0,1019.1
1979-05-13,17.3,19,11,72,12.8,6.8,0,1021.9
1979-05-14,16.6,19,10,70,12.8,6.8,0,1023.5
1979-05-15,12.8,22,6,81,8,2.7,0,1021.5
1979-05-16,15,21,7,77,7,2.4,0,1018.1
1979-05-17,19.1,25,14,61,8,4.7,0,1016
1979-05-18,19.2,27,11,64,8,3.3,0,1017
1979-05-19,18.8,25,12,67,8,2.7,0,1018.5
1979-05-20,21.1,30,11,63,11.8,3.3,0,1017.2
1979-05-21,18.7,32,13,56,8.9,4.7,0,1019.4
1979-05-22,15.6,22,8,67,8,2.6,0,1020.1
1979-05-23,18.3,25,9,65,8,3.9,0,1017
1979-05-24,22.4,30,13,54,10.9,5.2,0,1011.5
1979-05-25,20.7,25,14,59,9.9,3.6,0,1013.4
1979-05-26,19.7,26,13,74,8.9,2.4,0,1016.4
1979-05-27,22.6,30,15,64,7,3.2,0,1015.8
1979-05-28,21.4,29,15,60,8.9,3.8,0,1019.4
1979-05-29,20.2,25,13,70,5.8,3.2,0,1021.1
1979-05-30,21.4,30,13,60,7,3.4,0,1017.1
1979-05-31,19,26,11,79,8,3.1,0,1017.2
1979-06-01,21.3,26,14,73,8.9,3.3,0,1018.9
1979-06-02,22,27,16,72,12.8,5.1,0,1019.6
1979-06-03,22.3,26,15,80,8.9,4.8,0,1020.6
1979-06-04,21.9,27,16,77,12.8,3.7,0,1016.4
1979-06-05,22.6,27,16,79,8,2.3,0,1015.1
1979-06-06,21.2,27,15,76,8.9,3,0,1016.7
1979-06-07,21.3,26,17,76,8,3.2,0,1017.1
1979-06-08,21.9,27,16,79,8,2.6,3,1016.4
1979-06-09,22.3,27,17,78,8,2.1,0,1016
1979-06-10,23.7,29,16,72,9.9,3.1,0,1017.5
1979-06-11,24.6,29,19,64,8,2.7,0,1019.8
1979-06-12,24.4,29,18,68,16.9,3.8,0,1018.9
1979-06-13,25.8,31,18,60,8,3.7,0,1013.5
1979-06-14,27.5,32,21,49,20,10.3,0,1008.8
1979-06-15,23.9,29,20,58,11.8,5.9,0,1009.7
1979-06-16,19.4,24,16,64,14,6.2,3,1008.1
1979-06-17,17.1,20,13,71,9.9,4.8,1,1013.8
1979-06-18,15.1,19,12,83,5.8,1.7,0,1016.1
1979-06-19,17.2,21,11,78,12.8,6,0,1015.6
1979-06-20,18.5,23,14,74,11.8,5.8,0,1013
1979-06-21,18.2,23,13,82,10.9,4.4,4.1,1011.7
1979-06-22,21.4,29,13,64,9.9,3.1,0,1011.5
1979-06-23,21.1,25,16,71,8.9,3.4,0,1011.3
1979-06-24,21.6,28,13,70,8,3.3,0,1013
1979-06-25,23.9,30,15,64,8,3.1,0,1014.9
1979-06-26,24.6,29,17,64,8.9,4,0,1016.8
1979-06-27,25.2,31,18,67,8.9,2.2,0,1016.7
1979-06-28,24.1,28,20,77,8,4.2,0,1015.7
1979-06-29,23.6,27,19,73,9.9,2.7,2,1014.7
1979-06-30,24.3,29,18,71,8,3,0,1012.1
1979-07-01,23.8,27,20,74,10.9,4.9,0,1011.7
1979-07-02,21.5,26,19,86,11.8,3.5,16,1010
1979-07-03,17.1,18,17,93,8.9,5.8,6.1,1013.1
1979-07-04,18.8,22,16,76,9.9,4.8,0,1018.5
1979-07-05,20.2,23,14,64,9.9,5.1,0,1023.2
1979-07-06,19.1,23,13,68,8.9,3.7,0,1022.2
1979-07-07,22,30,12,57,7,4,0,1018.8
1979-07-08,24.2,30,16,55,15,5.2,0,1012.8
1979-07-09,21.7,26,13,57,8,4.6,1,1017.4
1979-07-10,23.2,29,14,57,8,4,0,1016.3
1979-07-11,22.9,29,17,71,11.1,3.5,0,1019.7
1979-07-12,25.8,32,19,69,8,2.6,0,1019.8
1979-07-13,28.4,35,23,46,15.9,7.7,0,1017
1979-07-14,23.8,27,20,71,12.8,4.5,0,1016.6
1979-07-15,23,27,17,67,7,2.9,0,1019.2
1979-07-16,22.8,29,14,57,8.9,3.9,0,1016.8
1979-07-17,22.7,26,18,69,7,2.5,0,1014.7
1979-07-18,23.5,30,15,66,11.8,4.1,0,1016.6
1979-07-19,27.5,34,21,51,8.9,5.4,0,1014.2
1979-07-20,26.7,35,19,48,8.9,3.9,0,1014.3
1979-07-21,25.7,30,19,64,9.9,3.8,0,1013.6
1979-07-22,25.8,32,20,65,8.9,4.8,0,1012.1
1979-07-23,23,25,18,60,8.9,4.4,0,1015.6
1979-07-24,20.8,24,15,62,8,4.3,0,1018.3
1979-07-25,21.3,28,13,59,11.8,5.1,0,1019.3
1979-07-26,23.9,30,16,58,8,2.6,0,1018.1
1979-07-27,24.1,28,19,73,5.8,2.6,0,1018.7
1979-07-28,24.4,32,17,64,8,2.6,0,1018.7
1979-07-29,26.1,34,17,58,8.9,4.7,0,1016.4
1979-07-30,27.3,33,19,53,8.9,4.3,0,1014.4
1979-07-31,27.7,35,20,57,8,4.4,0,1013.5
1979-08-01,25.6,32,18,73,8,2.5,0,1011.6
1979-08-02,27.2,31,22,66,8,2.9,0,1012.6
1979-08-03,26.7,31,20,63,8,3.5,0,1013.5
1979-08-04,26.9,32,22,59,8,4.3,0,1014
1979-08-05,24.5,30,19,71,9.9,2.6,0,1016.4
1979-08-06,23,30,17,62,10.9,3,0,1014.3
1979-08-07,23.8,30,15,57,10.9,4,0,1012.2
1979-08-08,24.9,32,18,67,9.9,3.4,0.5,1010.9
1979-08-09,23.4,28,20,71,10.9,5,2,1009
1979-08-10,22.9,30,17,71,8.9,4.7,1,1006.2
1979-08-11,21.6,25,17,67,8,4.1,16,1011.2
1979-08-12,20.4,24,15,63,8.9,4.3,0,1015.4
1979-08-13,20.4,26,12,57,8.9,4.2,0,1017.3
1979-08-14,21.4,26,12,70,8,2.4,0,1014.1
1979-08-15,20.7,27,14,76,7,2,0,1012.5
1979-08-16,23.7,31,15,58,8.9,3.4,0,1009.7
1979-08-17,22.7,27,16,74,9.9,3.1,0,1008.6
1979-08-18,22.2,29,17,76,14,4.2,2,1001.9
1979-08-19,19.3,25,14,72,8.9,3.7,2.3,1003.8
1979-08-20,19.5,23,14,77,8.9,2.7,0,1012
1979-08-21,21.5,25,17,75,9.9,4.5,1,1014.7
1979-08-22,20.8,26,14,74,7,3.3,0,1015.6
1979-08-23,22.1,30,13,64,9.9,3.5,0,1014.1
1979-08-24,22.6,28,16,70,7,1.8,2,1011.1
1979-08-25,20,23,15,64,15,7.1,0.5,1009.7
1979-08-26,18,25,11,75,15.9,4.1,4.1,1009.7
1979-08-27,18.8,23,13,80,7,2,0,1012.8
1979-08-28,20.6,26,14,78,9.9,4.8,7.1,1017.9
1979-08-29,21.4,27,14,70,8.9,5.1,11.9,1024.3
1979-08-30,17.2,23,12,79,5.8,3.1,0,1023.4
1979-08-31,18.9,24,13,71,7,2.9,0,1022.1
1979-09-01,18.6,24,12,77,8,4,0,1023.2
1979-09-02,19.1,26,11,75,9.9,3.4,0,1022.8
1979-09-03,21.4,27,13,67,8,2.6,0,1020.4
1979-09-04,21.4,25,17,72,8,3.3,0,1018.9
1979-09-05,20.1,25,15,71,11.8,3.2,0,1018.6
1979-09-06,19.2,22,14,69,8.9,3.9,0,1017.7
1979-09-07,18.5,24,12,77,7,2.4,0,1019.2
1979-09-08,19.7,26,12,75,7,2.4,0,1020.7
1979-09-09,19.7,25,14,74,5.8,1.5,0,1020.5
1979-09-10,19.8,26,14,72,8,1.7,0,1019.4
1979-09-11,19.1,24,15,85,8,2.2,0,1019.6
1979-09-12,19.4,25,15,87,6,1.9,0,1020.1
1979-09-13,21,26,15,81,7,1.5,0,1019
1979-09-14,21.9,26,16,76,8,2.2,0,1016.8
1979-09-15,21.8,28,16,64,7,3.1,0,1014.8
1979-09-16,17.8,22,11,71,10.9,3.6,2,1020.3
1979-09-17,14.8,22,8,73,8,1.3,0,1022.2
1979-09-18,19.7,25,12,69,7,2.7,0,1022
1979-09-19,19.8,24,14,82,6,2.2,0,1023.4
1979-09-20,20.6,26,15,80,8.9,3.4,0,1019.4
1979-09-21,21.2,27,16,81,8.9,2.3,0.3,1009.6
1979-09-22,22,28,17,71,8.9,3.5,2.3,1003.3
1979-09-23,18.3,22,15,82,5.8,2.6,1.5,1008.6
1979-09-24,17.4,22,15,79,12.8,4.7,21.1,1004.5
1979-09-25,16.2,18,14,83,9.9,5.2,0,1014.6
1979-09-26,17,21,13,80,9.9,5.5,23.9,1020.7
1979-09-27,16.7,19,13,82,10.9,4.1,0,1023.6
1979-09-28,16.1,20,12,86,9.9,3.6,0,1023
1979-09-29,17,21,13,85,9.9,3.2,0,1019.5
1979-09-30,18.3,21,15,85,9.9,3.9,0,1018.4
1979-10-01,17.7,21,15,83,7,1.6,0,1017.7
1979-10-02,17.1,21,13,81,9.9,3.8,0,1018.7
1979-10-03,15,19,10,76,8,5.1,0,1021.1
1979-10-04,13.5,19,7,76,5.8,1.9,0,1019.2
1979-10-05,15.8,23,10,86,10.9,4.2,13,1013.3
1979-10-06,14.8,19,11,93,10.9,2.1,0.5,1012.1
1979-10-07,15.6,20,11,84,6,2.8,0,1019.7
1979-10-08,12.6,18,10,94,NA,0,0,1023.5
1979-10-09,14.4,18,8,87,4.1,2,0,1022.7
1979-10-10,14.1,20,7,86,8.9,2.2,0,1020.3
1979-10-11,16.4,22,10,84,10.9,4.9,0,1016.2
1979-10-12,17.7,21,13,90,5.1,2.1,1.3,1011
1979-10-13,20.5,26,15,68,9.9,4.8,5.1,1006.4
1979-10-14,19.6,26,13,73,9.9,2.7,0,1007.9
1979-10-15,20.6,26,17,69,9.9,5.4,0.5,1004.9
1979-10-16,18.7,27,12,70,4.9,2.4,0,1014.8
1979-10-17,18,23,13,89,4.9,1.5,0,1017.1
1979-10-18,17.4,21,15,94,5.1,1.6,3,1020
1979-10-19,14.7,20,8,76,8.9,2.5,0,1022.9
1979-10-20,11.7,18,5,75,5.8,3.4,0,1027.2
1979-10-21,12.8,17,7,81,8,3.2,0,1023.9
1979-10-22,13.9,19,7,84,4.9,1.3,0,1018.1
1979-10-23,14.1,17,9,91,9.9,2.5,6.1,1019.6
1979-10-24,12.7,15,8,86,4.1,1.5,11.9,1022.3
