"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,12.7,14,11,69,24.9,15.9,0,994.4
1979-01-02,-0.1,3,-2,54,20,12.8,0,1010.5
1979-01-03,-3,2,-8,64,NA,0,0,1021.5
1979-01-04,-0.4,3,-6,92,8,0.7,7.1,1010.6
1979-01-05,0,4,-4,86,2.9,0.2,0,1013.2
1979-01-06,4.9,9,0,69,NA,0,0,1021.5
1979-01-07,3.4,11,-3,60,2.9,0.7,0,1031.8
1979-01-08,-0.2,4,-5,83,NA,0,0,1033.5
1979-01-09,5.8,10,2,97,9.9,4.3,32,1016.8
1979-01-10,7.2,10,5,89,NA,0,26.4,1005.3
1979-01-11,9.2,12,8,76,15,9.3,16,990.7
1979-01-12,2.6,9,-1,78,NA,0,0,998.9
1979-01-13,2.4,9,-4,63,5.8,1.2,0,1010.8
1979-01-14,2.2,9,-2,49,NA,0,0,1021.6
1979-01-15,1.5,8,-6,56,8,1.2,0,1022.3
1979-01-16,-0.3,5,-6,65,7,0.9,0,1021.7
1979-01-17,-0.3,5,-6,70,8.9,1.7,0,1020.9
1979-01-18,1.7,5,-4,58,8,3.1,0,1022.3
1979-01-19,2.1,6,-3,65,6,0.7,0,1023.5
1979-01-20,3.3,6,2,84,NA,0,1,1022.1
1979-01-21,5.4,7,3,93,NA,0,8.9,1020.9
1979-01-22,7.9,10,5,100,NA,0,7.9,1020.2
1979-01-23,11.4,12,8,99,5.8,2.1,25.9,1012
1979-01-24,11.3,13,10,89,4.9,0.6,4.1,1006
1979-01-25,10.7,13,9,86,1.9,0.3,0,1000.8
1979-01-26,8.9,12,4,82,2.9,0.2,0.3,1005.1
1979-01-27,12.8,15,8,96,7,3.5,7.9,1003.9
1979-01-28,15.2,17,13,92,15.9,6,7.9,997.2
1979-01-29,11.2,13,10,87,11.8,3.6,25.9,997.6
1979-01-30,11.4,14,10,73,13,6,0,1005.5
1979-01-31,9.3,13,6,66,8,3.1,6.1,1009.1
1979-02-01,4.9,11,-1,78,3.9,0.4,0,1018.8
1979-02-02,10.4,13,8,90,2.9,0.4,0,1009
1979-02-03,11.4,14,9,92,NA,0,0.5,1005.1
1979-02-04,11.8,14,9,91,NA,0,0.5,1005.9
1979-02-05,11.2,12,10,97,1.9,0.4,21.1,996.7
1979-02-06,10,17,4,83,1.9,0.3,0.3,1003.3
1979-02-07,7.5,10,5,93,NA,0,3,1007.7
1979-02-08,9.5,14,6,84,NA,0,3,1006
1979-02-09,9.7,10,9,100,NA,0,7.1,1007.6
1979-02-10,12.7,16,10,91,11.1,4.7,0.5,996.9
1979-02-11,14,18,10,74,8,2.8,0,1001.4
1979-02-12,12.6,14,11,98,NA,0,13,992.9
1979-02-13,12.3,15,10,91,8.9,1.2,8.9,994.2
1979-02-14,9,10,8,99,2.9,1.1,11.9,992.9
1979-02-15,9.8,13,6,89,7,2.9,2,997
1979-02-16,9.7,13,7,99,20,5.3,13,999
