"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,14.5,17,13,82,28.9,12.6,NA,NA
1979-01-02,7.6,13,0,74,22.9,15.7,NA,NA
1979-01-03,-3.4,0,-6,88,28,15.2,NA,NA
1979-01-04,2.4,12,-9,86,24.9,9.8,NA,NA
1979-01-05,9.8,13,6,91,26.8,9,0,NA
1979-01-06,9.1,12,6,92,11.8,3.1,NA,NA
1979-01-07,7.9,11,5,75,26.8,14.3,NA,NA
1979-01-08,0.9,5,-2,88,11.8,4.2,0,NA
1979-01-09,0.4,5,-1,95,5.8,0.7,0,NA
1979-01-10,NA,NA,NA,NA,NA,NA,NA,NA
1979-01-11,12.8,13,12,91,24.9,19.9,NA,NA
1979-01-12,8.3,13,3,85,19.8,8,NA,NA
1979-01-13,3.3,7,1,84,22,7.6,NA,NA
1979-01-14,3.1,6,1,74,22,10.5,NA,NA
1979-01-15,1.9,7,0,81,22,11.6,NA,NA
1979-01-16,-0.2,3,-2,94,11.8,4.7,NA,NA
1979-01-17,0.6,6,-3,90,9.9,4.7,0,NA
1979-01-18,1.6,7,-2,87,15.9,8.7,0,NA
1979-01-19,3,8,-2,87,8,2.6,0,NA
1979-01-20,4.9,10,0,84,8,2.5,0,NA
1979-01-21,5.7,12,0,88,NA,0,0,NA
1979-01-22,7.4,14,2,88,10.9,1.8,0,NA
1979-01-23,10.8,14,6,94,12.8,7,NA,NA
1979-01-24,12.6,15,11,95,17.9,10.7,NA,NA
1979-01-25,12.8,14,10,96,26.8,13.9,NA,NA
1979-01-26,12.1,15,7,93,11.8,5.1,NA,NA
1979-01-27,10.8,16,4,89,15,6.2,0,NA
1979-01-28,14.6,16,13,92,28.9,17.8,0,NA
1979-01-29,14.5,18,12,90,23.9,14.5,0,NA
1979-01-30,12.2,15,9,79,16.9,9.6,0,NA
1979-01-31,10.3,14,5,78,16.9,10.7,NA,NA
1979-02-01,7.2,13,2,78,12.8,5.1,0,NA
1979-02-02,8.8,13,3,88,17.9,4.6,0,NA
1979-02-03,11.8,16,8,89,10.9,5.8,NA,NA
1979-02-04,12.9,14,10,96,12.8,6.4,NA,NA
1979-02-05,12,16,9,99,11.8,5.9,NA,NA
1979-02-06,11.6,13,10,99,21,8.5,NA,NA
1979-02-07,9.6,13,7,89,17.9,7.3,0,NA
1979-02-08,8.2,11,6,97,15,7.1,NA,NA
1979-02-09,9.2,14,1,87,7,1.9,0,NA
1979-02-10,13.3,15,11,95,25.8,13.5,NA,NA
1979-02-11,13.2,19,8,88,15,5.8,3,NA
1979-02-12,15.9,20,12,86,37.9,25.8,0,NA
1979-02-13,13.7,15,12,79,22.9,11.9,0,999.7
1979-02-14,12.9,18,8,76,15,4.8,NA,NA
1979-02-15,13.3,19,10,77,19.8,11,0,NA
1979-02-16,16,18,13,68,35,23.4,NA,NA
1979-02-17,14.2,16,12,81,22.9,6.6,NA,NA
1979-02-18,11.1,14,9,81,19.8,10.6,2,NA
1979-02-19,10.6,15,5,86,8.9,1.9,NA,NA
1979-02-20,9.6,11,8,94,9.9,5.5,NA,NA
1979-02-21,8.3,10,7,93,9.9,3.8,NA,NA
1979-02-22,5.6,9,0,82,9.9,3.5,NA,NA
1979-02-23,5.3,10,0,87,8,1.7,0,NA
1979-02-24,5.3,11,-1,91,7,1.9,0,NA
1979-02-25,6.4,11,-1,75,12.8,6.8,0,NA
1979-02-26,4.2,9,0,81,24.9,9.3,NA,NA
1979-02-27,3.7,9,0,95,11.8,2,NA,NA
1979-02-28,5.2,9,0,84,4.9,0.6,0,NA
1979-03-01,5.5,14,-3,89,8,1.3,0,1019.6
1979-03-02,12.2,17,6,95,15,7.3,0,NA
1979-03-03,11.1,17,8,96,10.9,3.6,NA,NA
1979-03-04,8.8,15,3,96,8.9,2.6,0,NA
1979-03-05,10.6,15,5,95,24.9,12,0,NA
1979-03-06,10.9,16,6,83,15,7.5,0,NA
1979-03-07,10.1,17,2,73,4.9,1.1,0,NA
1979-03-08,9.5,17,1,88,12.8,3.3,NA,NA
1979-03-09,10.2,15,6,87,12.8,4.8,0,NA
1979-03-10,11,15,4,81,16.9,6.5,NA,NA
1979-03-11,10.5,15,7,89,12.8,4,NA,NA
1979-03-12,6.2,7,5,96,NA,0,0,NA
1979-03-13,12.3,18,5,88,7,1.2,0,NA
1979-03-14,12.4,17,6,91,19.8,8.1,0,NA
1979-03-15,14.9,18,12,88,23.9,13.7,0,NA
1979-03-16,14.4,17,11,87,28.9,16.8,NA,NA
1979-03-17,14.1,18,8,64,17.9,7.7,0,NA
1979-03-18,12.8,16,9,88,19.8,12.7,0,NA
1979-03-19,14.1,20,10,92,14,7.5,0,NA
1979-03-20,14.3,19,12,90,19.8,6.6,0,NA
1979-03-21,13.9,20,9,74,5.8,1.5,0,NA
1979-03-22,12.3,19,7,80,11.8,4,0,NA
1979-03-23,10.6,15,6,82,8,1.8,0,NA
1979-03-24,10.9,17,5,77,4.9,1.1,0,NA
1979-03-25,10.9,18,3,87,11.8,3,0,NA
1979-03-26,13.2,18,5,85,21,11.3,NA,NA
1979-03-27,14.7,17,12,94,22,16.2,NA,NA
1979-03-28,15.8,19,13,85,15,7.5,NA,NA
1979-03-29,14.4,17,11,78,22,11.1,NA,NA
1979-03-30,12.7,16,9,67,19.8,10.9,0,NA
