"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,3.3,12,-2,63,33,11.9,0,NA
1979-01-02,-3.1,3,-7,31,28,11.5,0,NA
1979-01-03,-4.1,3,-9,70,9.9,2.3,0,NA
1979-01-04,-5.1,0,-7,91,NA,0,4.1,NA
1979-01-05,-4.1,-2,-8,96,4.9,0.2,0,NA
1979-01-06,-4.2,0,-10,95,5.1,1.3,0,NA
1979-01-07,-7.3,-5,-11,NA,4.9,0,0,1035.5
1979-01-08,-4.3,2,-8,100,2.9,0,0,NA
1979-01-09,-0.5,1,-2,100,2.9,0.1,18,NA
1979-01-10,-2.1,0,-5,100,8.9,4.6,1,NA
1979-01-11,-1.3,1,-5,98,NA,3.8,0.5,NA
1979-01-12,-2.7,2,-10,80,8.9,3.3,0,NA
1979-01-13,-1.2,6,-10,54,15.9,6.1,0,NA
1979-01-14,-3.1,1,-11,66,14,2.4,0,NA
1979-01-15,-8.1,-2,-14,85,5.8,0.5,0,NA
1979-01-16,-7.4,2,-14,86,5.1,1,0,1024
1979-01-17,-3.8,2,-8,82,29.9,0.7,0,NA
1979-01-18,-3,1,-6,79,NA,0,0,NA
1979-01-19,-3.8,1,-9,87,3.9,0.1,0,NA
1979-01-20,0.1,1,-1,86,7,0.7,0,NA
1979-01-21,0.7,2,0,98,NA,0,0.3,NA
1979-01-22,1.2,2,1,97,3.9,0.1,3,NA
1979-01-23,1.7,3,1,100,15.9,0.2,9.9,1015.7
1979-01-24,2.3,4,2,99,15,0.1,0.5,NA
1979-01-25,2.2,4,1,100,NA,0,0,NA
1979-01-26,2.3,5,1,97,5.1,1,0,NA
1979-01-27,2.1,3,2,100,3.9,0.1,9.9,NA
1979-01-28,2.6,4,2,NA,5.8,0.8,13,NA
1979-01-29,4.4,7,2,99,8,1.6,0.3,NA
1979-01-30,2.9,5,1,100,9.9,0.5,0,1004.3
1979-01-31,5.1,12,0,56,15,7,0,NA
1979-02-01,2.2,8,-3,77,4.9,0.3,0,NA
1979-02-02,3.2,4,3,100,4.9,0.7,3,NA
1979-02-03,4,7,2,91,4.9,1,0.3,NA
1979-02-04,3.3,9,-2,94,4.9,0.2,0,NA
1979-02-05,5.6,8,4,99,7,0.5,2,NA
1979-02-06,4.4,6,3,99,7,1.6,0,NA
1979-02-07,4.3,6,3,95,7,1.6,2,NA
1979-02-08,3.3,6,2,99,4.1,1.1,0,NA
1979-02-09,4.2,5,3,99,NA,0,0.5,NA
1979-02-10,4.9,6,4,98,7,1.3,8.9,NA
1979-02-11,5.7,7,5,99,8,1.6,14,NA
1979-02-12,5,6,3,97,6,3,23.4,NA
1979-02-13,6.4,12,3,92,4.9,0.6,0,NA
1979-02-14,7.4,9,6,97,2.9,0,1,NA
1979-02-15,7.1,10,5,93,3.9,0.8,1,NA
1979-02-16,7.5,9,6,93,8,1.7,8.9,NA
1979-02-17,8.1,9,7,91,11.8,2.7,33,NA
