"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,16.6,17,16,84,24.9,18.4,0,NA
1979-01-02,13.3,16,9,73,35,26.9,0,NA
1979-01-03,8.6,12,6,55,32.1,16.6,7.9,NA
1979-01-04,10.9,15,6,61,37.9,24.5,0,NA
1979-01-05,15.4,17,13,71,22,10.6,0,NA
1979-01-06,17.6,21,10,57,24.9,12.2,0,1015.3
1979-01-07,15.2,17,14,83,16.9,9.5,0,NA
1979-01-08,13.9,15,12,78,14,3.3,0,NA
1979-01-09,15.3,17,13,74,25.1,11.1,0.3,NA
1979-01-10,15.6,16,15,83,20,14.5,0.3,NA
1979-01-11,14.6,16,13,88,25.8,20.1,15,NA
1979-01-12,13.7,16,12,70,28.9,18.3,18,NA
1979-01-13,12.3,14,10,71,27,14.2,6.1,NA
1979-01-14,9.8,12,8,67,25.8,12.6,3,NA
1979-01-15,7.6,10,5,77,14,5.9,5.1,NA
1979-01-16,6.3,8,5,78,21,6.2,4.3,1016.2
1979-01-17,5.7,7,-1,87,15,5.6,16,NA
1979-01-18,7.4,10,5,69,8.9,5.5,0,NA
1979-01-19,9.7,12,8,82,8.9,2,0.5,NA
1979-01-20,12.5,14,11,89,6,0.9,0,NA
1979-01-21,13,14,12,89,7,2.1,0,NA
1979-01-22,13.6,15,12,85,8,2.2,0,NA
1979-01-23,15.1,21,13,82,16.9,6.4,4.1,NA
1979-01-24,14.8,15,14,88,18.8,9.9,4.1,NA
1979-01-25,15.5,17,14,78,25.8,15.3,2,NA
1979-01-26,14.6,16,13,84,15,8.8,0.5,NA
1979-01-27,18.2,21,14,57,35,20.1,0,NA
1979-01-28,20.8,22,19,54,32.8,23.9,0,NA
1979-01-29,17.3,20,16,77,26.8,15.4,2,NA
1979-01-30,15.7,17,14,80,22.9,16,1.3,NA
1979-01-31,13.9,16,11,73,29.9,18.6,5.1,NA
1979-02-01,12.3,13,7,62,23.9,9,2,NA
1979-02-02,14.3,16,11,63,28,21.2,0,NA
1979-02-03,15.7,17,14,74,24.9,17.5,2,NA
1979-02-04,14.6,16,14,88,14,6.8,2,NA
1979-02-05,15.1,16,14,85,25.8,15.4,7.1,NA
1979-02-06,14.8,15,14,87,22,10.9,0,NA
1979-02-07,15.1,17,13,79,28.9,13.7,0,NA
1979-02-08,14.1,15,13,86,24.1,13.3,1.5,NA
1979-02-09,17.3,20,12,59,22.9,15.6,0,NA
1979-02-10,20.3,23,18,43,24.1,16.6,0,NA
1979-02-11,20.7,26,16,40,31.9,11.1,0,NA
1979-02-12,16.1,18,15,85,26.8,14.1,2,NA
1979-02-13,14.7,15,13,82,31.9,19.9,17,NA
1979-02-14,13.9,15,12,77,28,18.9,5.1,NA
1979-02-15,14.9,17,13,73,22,15.5,3.3,NA
1979-02-16,12.2,13,12,85,19.8,10,23.9,NA
1979-02-17,12.8,15,11,79,17.9,8.2,9.9,NA
1979-02-18,12.3,13,11,82,26,11,6.1,NA
1979-02-19,12.7,14,11,83,21,13,7.9,NA
1979-02-20,12.1,14,11,88,15,2.4,3,NA
1979-02-21,11.4,13,11,86,8,2.1,2,NA
1979-02-22,11.8,13,10,84,12.8,4.2,0,NA
1979-02-23,11.5,14,9,79,17.1,5.1,1,NA
1979-02-24,11.1,12,10,86,28.9,8.5,10.9,NA
1979-02-25,12.7,14,11,73,30.9,22.1,2,NA
1979-02-26,11.8,13,11,68,17.9,8,0,NA
1979-02-27,9.8,11,8,69,15,5.6,6.1,NA
1979-02-28,10,12,9,52,11.1,6.6,0,NA
1979-03-01,10.9,25,9,79,14,2.2,18,NA
1979-03-02,11.9,15,10,78,25.8,10.3,31,NA
1979-03-03,12.4,13,11,81,17.9,9.5,2,NA
1979-03-04,12.3,14,11,84,13,5,0,NA
1979-03-05,13.1,14,12,85,11.8,8.5,0,NA
1979-03-06,13,14,11,87,7,3.6,0,NA
1979-03-07,13.1,15,11,84,11.1,5.5,0,NA
1979-03-08,13.6,15,11,85,11.8,7.1,0,NA
1979-03-09,12.7,15,11,85,7,3.2,0,NA
1979-03-10,12.9,14,11,85,18.8,11,0,NA
1979-03-11,13.9,15,13,86,19.8,9.7,0,NA
1979-03-12,14.1,16,12,87,40,8.5,0,NA
1979-03-13,14.4,15,13,87,12.8,7.3,0,NA
1979-03-14,15.2,18,12,82,6,1.9,0,NA
1979-03-15,19.4,23,15,44,28.9,19.2,0,NA
1979-03-16,14.1,15,13,70,28,17.8,11.9,NA
1979-03-17,15.8,19,13,59,17.9,10.7,0,NA
1979-03-18,17.3,21,15,69,26.8,8.1,2,NA
1979-03-19,15.4,17,14,87,11.8,3.7,0,NA
1979-03-20,14.4,16,13,86,15,3.4,8.9,NA
1979-03-21,15.2,17,12,58,8,3.6,0,NA
1979-03-22,15,16,14,72,14,9.9,0,NA
1979-03-23,14.6,15,14,74,11.1,6.9,0,NA
1979-03-24,14.3,16,13,76,10.9,3.9,0.5,NA
1979-03-25,14.2,16,12,79,7,2.7,0,NA
1979-03-26,19.7,25,14,54,29.9,15.5,0,NA
1979-03-27,21.8,25,17,52,24.1,13.8,0,NA
1979-03-28,17.5,19,17,81,15.9,10.8,5.1,NA
1979-03-29,16,17,13,76,22,15.8,0.5,NA
1979-03-30,14,15,13,73,25.1,14,2,NA
1979-03-31,13.9,16,12,72,8.9,4.6,1,NA
1979-04-01,12.4,14,11,86,14,7.1,9.9,NA
1979-04-02,12.7,13,11,79,18.8,12.8,0,NA
1979-04-03,13.6,14,13,79,18.1,12.9,0,NA
1979-04-04,14.6,16,12,71,15,11.9,1,NA
1979-04-05,15.6,17,13,67,12,6.1,0,NA
1979-04-06,14.4,16,13,71,16.9,13.5,5.3,NA
1979-04-07,13.6,15,13,68,18.8,15.3,0,NA
1979-04-08,13.8,15,12,64,11.1,5.1,0,NA
1979-04-09,14,16,12,83,13,4.2,0,NA
1979-04-10,14.4,16,13,89,12,3,0,NA
1979-04-11,15.1,16,14,84,28,6.4,0,NA
1979-04-12,15.1,16,14,82,17.9,13,9.9,NA
1979-04-13,15.2,16,14,88,15.9,7.6,0,NA
1979-04-14,15.4,17,13,86,12,3.5,0,NA
1979-04-15,17,20,14,58,19.8,8.6,0,NA
1979-04-16,16.7,19,15,74,12.8,4.8,13,NA
1979-04-17,14.8,16,14,87,24.9,14.4,34,NA
1979-04-18,14.2,15,12,79,23.9,13.1,5.1,NA
1979-04-19,15,16,14,84,11.1,4.9,0.3,NA
1979-04-20,13.9,15,13,86,13,6.7,3.6,NA
1979-04-21,14.4,15,13,74,17.9,7.8,11.9,NA
1979-04-22,14.2,15,13,77,8,3.1,1,NA
1979-04-23,14.4,16,12,81,8.9,3.3,0,NA
1979-04-24,18.3,21,14,50,32.8,22.1,0,NA
1979-04-25,17.3,20,14,73,24.1,9.1,4.1,NA
1979-04-26,15.2,16,13,74,9.9,4.6,0,NA
1979-04-27,14.7,17,12,71,15,7.7,1.5,NA
1979-04-28,14.6,17,13,73,21,12.4,1,NA
1979-04-29,13.8,15,12,75,9.9,5.7,3,NA
1979-04-30,14.1,16,12,75,6,1.2,0,NA
1979-05-01,14.6,16,13,81,16.9,6.2,0,NA
1979-05-02,15.4,18,12,71,13,5.2,0,NA
1979-05-03,16.4,18,15,78,12.8,6.6,0,NA
1979-05-04,15.3,17,14,88,16.9,8.1,0,NA
1979-05-05,15.7,17,14,84,22.9,15.7,0,NA
1979-05-06,16.2,17,16,86,22,7.4,0.5,NA
1979-05-07,15.8,16,15,87,15,7.7,1,NA
1979-05-08,15.7,17,15,85,13,5.7,0,NA
1979-05-09,15.9,17,14,83,7,1.5,0,NA
1979-05-10,16.3,17,15,76,12.8,5.3,0,NA
1979-05-11,16.6,18,15,81,8.9,3.4,0.3,NA
1979-05-12,17.2,19,15,79,8,3.4,0,NA
1979-05-13,16.8,19,15,85,9.9,4.1,0,NA
