"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,12.2,15,6,54,32.1,23.1,0,NA
1979-01-02,1.1,11,-6,39,21,8.6,0,NA
1979-01-03,-3,3,-6,69,9.9,2,0,NA
1979-01-04,0.6,3,-4,79,22,9.6,3,NA
1979-01-05,0.4,3,-3,79,8.9,4.2,0,NA
1979-01-06,3.7,8,1,66,10.9,6.7,0,NA
1979-01-07,3.3,8,-1,60,18.1,6.2,0,NA
1979-01-08,1.4,5,-3,74,8,2.7,0.3,NA
1979-01-09,6.7,9,3,93,18.8,9.5,55.9,NA
1979-01-10,8.9,11,6,71,24.9,6.5,18,NA
1979-01-11,9.3,12,2,62,29.9,15.4,7.9,NA
1979-01-12,3.2,9,-1,72,5.8,0.4,0,NA
1979-01-13,1.4,8,-3,57,5.8,0.6,0,NA
1979-01-14,0.2,7,-5,59,5.8,0.4,0,NA
1979-01-15,-0.1,8,-5,65,4.1,0.5,0,NA
1979-01-16,-1.5,5,-7,62,7,1.5,0,1021.2
1979-01-17,-0.7,4,-5,69,8.9,2.6,0,NA
1979-01-18,0.7,4,-1,61,12.8,8.1,0,NA
1979-01-19,1.7,4,-2,58,15.9,10.2,0,NA
1979-01-20,3.7,5,3,72,19.8,7.5,3,NA
1979-01-21,5.8,8,4,88,16.9,7.8,9.9,NA
1979-01-22,10.1,12,6,88,12,6.6,5.1,NA
1979-01-23,11.5,12,11,93,14,5.7,18,NA
1979-01-24,10.6,13,9,83,16.9,4.9,4.3,NA
1979-01-25,9.1,12,6,83,11.8,1.6,1,NA
1979-01-26,7.5,11,4,87,6,0.6,1,NA
1979-01-27,12.1,14,8,89,11.8,3.4,10.9,NA
1979-01-28,14.1,16,13,79,17.9,8,5.1,997.3
1979-01-29,11.1,13,10,70,22,8.5,15,NA
1979-01-30,10.9,12,10,57,18.8,14.1,0,NA
1979-01-31,9,14,2,61,17.1,3.3,0,1007.7
1979-02-01,5.4,11,0,80,8.9,2.4,0,NA
