"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,17.3,20,15,56,16.9,8.4,0,NA
1979-01-02,12.3,16,7,64,29.9,19.2,0,NA
1979-01-03,4.7,7,1,60,29.9,19.7,NA,NA
1979-01-04,8.7,13,3,70,18.8,8.8,0,NA
1979-01-05,15.3,19,11,73,15,5.6,0,NA
1979-01-06,14.3,17,9,84,9.9,4.1,0,NA
1979-01-07,13.1,14,11,85,7,0.9,NA,NA
1979-01-08,10.7,13,8,75,8,1.9,0,NA
1979-01-09,NA,NA,NA,NA,NA,NA,NA,NA
1979-01-10,NA,NA,NA,NA,NA,NA,NA,NA
1979-01-11,13.6,14,13,83,8,4.7,NA,NA
1979-01-12,11.2,15,7,66,26.8,8.5,NA,NA
1979-01-13,7.8,11,6,77,23.9,9.1,NA,NA
1979-01-14,6.9,8,5,68,22.9,7.2,NA,NA
1979-01-15,6.8,9,4,67,14,7.6,0,NA
1979-01-16,NA,NA,NA,NA,NA,NA,NA,NA
1979-01-17,5.1,7,3,77,9.9,6,NA,NA
1979-01-18,5.8,9,0,77,8,1.5,0,NA
1979-01-19,9.1,12,5,70,10.9,4,NA,NA
1979-01-20,10.4,12,8,79,16.9,2.5,0,NA
1979-01-21,10.9,13,9,82,8.9,1.7,0,NA
1979-01-22,11.9,13,10,79,14,8.8,0,NA
1979-01-23,13.2,16,11,87,19.8,10.3,NA,NA
1979-01-24,13.3,15,11,83,17.9,8.7,NA,NA
1979-01-25,9.8,13,5,NA,8.9,5.2,0,NA
1979-01-26,13.5,16,12,76,18.8,10.3,NA,NA
1979-01-27,13.2,16,10,79,10.9,3.6,0,NA
1979-01-28,17.1,19,16,55,17.9,11.7,0,NA
1979-01-29,16.8,21,13,63,22,11.5,NA,NA
1979-01-30,12.6,15,10,68,12.8,5.5,0,NA
1979-01-31,11.3,14,8,68,22.9,8.9,NA,NA
1979-02-01,11.3,14,10,64,18.8,7.6,0,NA
1979-02-02,13.2,14,10,73,24.9,10.7,0,NA
1979-02-03,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-04,13.8,15,12,86,12.8,7.9,0,NA
1979-02-05,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-06,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-07,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-08,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-09,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-10,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-11,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-12,18.6,22,15,65,19.8,15.2,NA,NA
1979-02-13,14.4,18,13,78,19.8,6.3,NA,NA
1979-02-14,13.3,15,10,68,14,7.1,NA,NA
1979-02-15,12.9,15,9,79,19.8,4.7,NA,NA
1979-02-16,14.5,19,12,71,24.9,7.6,0,NA
1979-02-17,11.9,14,10,81,11.8,5.5,NA,NA
1979-02-18,10.9,12,8,83,7,1.3,0,NA
1979-02-19,12.2,14,10,84,21,7.7,NA,NA
1979-02-20,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-21,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-22,11,13,10,87,10.9,2.2,0,NA
1979-02-23,9.7,13,7,82,8,2.2,0,NA
1979-02-24,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-25,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-26,NA,NA,NA,NA,NA,NA,NA,NA
1979-02-27,8.8,10,8,73,8,4.1,NA,NA
1979-02-28,8.3,10,7,74,5.8,0.3,0,NA
1979-03-01,10.9,15,6,75,17.9,5.7,NA,NA
1979-03-02,14.2,16,12,77,24.9,10.7,NA,NA
1979-03-03,12.9,17,10,73,9.9,4.2,0,NA
1979-03-04,11.8,16,9,75,8,2.8,0,NA
1979-03-05,11.9,16,8,74,16.9,6.1,0,NA
1979-03-06,11.2,12,9,83,9.9,7.4,0,NA
1979-03-07,14.5,15,13,71,15,11.9,0,NA
1979-03-08,NA,NA,NA,NA,NA,NA,NA,NA
1979-03-09,NA,NA,NA,NA,NA,NA,NA,NA
1979-03-10,NA,NA,NA,NA,NA,NA,NA,NA
1979-03-11,NA,NA,NA,NA,NA,NA,NA,NA
1979-03-12,NA,NA,NA,NA,NA,NA,NA,NA
1979-03-13,16.1,19,13,72,12.8,7.5,0,NA
1979-03-14,13.1,16,9,86,14,5.6,0,NA
1979-03-15,15.5,20,9,63,30.9,15.7,NA,NA
1979-03-16,14.6,17,13,56,23.9,16.5,NA,NA
1979-03-17,13.7,17,12,56,9.9,5.3,0,NA
1979-03-18,NA,NA,NA,NA,NA,NA,NA,NA
1979-03-19,14.5,17,13,84,15,4.8,0,NA
1979-03-20,13.8,16,11,85,23.9,7,NA,NA
1979-03-21,14.7,19,10,58,14,8.2,0,NA
1979-03-22,13.2,19,9,65,17.9,4.7,0,NA
1979-03-23,NA,NA,NA,NA,NA,NA,NA,NA
1979-03-24,13.1,15,12,75,15,5.4,0,NA
1979-03-25,NA,NA,NA,NA,NA,NA,NA,NA
1979-03-26,17.6,24,14,71,24.9,5.2,0,NA
1979-03-27,18.3,20,17,80,19.8,7.3,NA,NA
1979-03-28,17.2,19,13,72,15,8.9,NA,NA
1979-03-29,14.9,18,13,73,16.9,6.4,NA,NA
1979-03-30,12.6,16,11,69,17.9,5.3,0,NA
1979-03-31,13.3,16,12,71,9.9,0.6,NA,NA
1979-04-01,11.1,12,11,90,14,6,NA,NA
1979-04-02,11.8,13,10,81,22.9,12.5,NA,NA
1979-04-03,13.9,16,12,66,22,17.5,NA,NA
1979-04-04,NA,NA,NA,NA,NA,NA,NA,NA
1979-04-05,NA,NA,NA,NA,NA,NA,NA,NA
1979-04-06,16.5,17,16,45,22,17.7,0,NA
1979-04-07,12.3,15,9,67,15.9,10.8,NA,NA
1979-04-08,12.2,16,9,63,14,6.5,0,NA
1979-04-09,15.2,17,13,65,18.8,9.9,0,NA
1979-04-10,14.5,17,11,78,18.8,7.9,0,NA
1979-04-11,14.8,17,12,81,11.8,3.9,0,NA
1979-04-12,13.9,17,12,82,18.8,10.3,NA,NA
1979-04-13,14.7,17,13,82,7,2.8,NA,NA
1979-04-14,14.6,18,11,85,15.9,5.8,0,NA
1979-04-15,15.7,19,12,65,25.8,14.9,0,NA
1979-04-16,16.9,20,11,67,28,12.8,NA,NA
1979-04-17,13.6,16,10,81,17.9,5.1,NA,NA
1979-04-18,14,17,13,72,14,8.3,0,NA
1979-04-19,14.7,18,12,74,10.9,4.8,0,NA
1979-04-20,13.2,16,12,83,9.9,2.5,NA,NA
1979-04-21,12.3,15,10,84,9.9,2.1,NA,NA
1979-04-22,13.4,17,10,74,11.8,4.9,0,NA
1979-04-23,13.7,18,10,70,12.8,3.6,0,NA
1979-04-24,15.2,19,11,70,16.9,9.4,0,NA
1979-04-25,17,20,15,77,15.9,8.4,NA,NA
1979-04-26,14.9,18,13,76,19.8,12.6,NA,NA
1979-04-27,13.9,18,13,73,14,7.9,0,NA
1979-04-28,14.7,17,12,62,14,6.9,0,NA
1979-04-29,14.4,18,11,62,15.9,6.8,0,NA
1979-04-30,14.2,18,11,70,15,6,0,NA
1979-05-01,15.8,19,12,60,14,7.3,0,NA
1979-05-02,15.4,19,12,75,15.9,7.5,0,NA
1979-05-03,18.2,24,12,50,12.8,5.6,0,NA
1979-05-04,18.5,23,13,65,16.9,3.9,0,NA
1979-05-05,17.6,20,16,78,22.9,19.1,0,NA
1979-05-06,NA,NA,NA,NA,NA,NA,NA,NA
1979-05-07,20.7,23,17,66,15,12.2,0,NA
1979-05-08,17.6,20,16,80,15,10,0,NA
