"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,12.4,15,8,71,21,10.6,NA,NA
1979-01-02,3,8,-3,61,22,12.6,NA,NA
1979-01-03,-1.7,3,-6,58,17.9,4.4,0,NA
1979-01-04,4.2,12,-2,79,25.8,9.7,NA,NA
1979-01-05,4,6,3,95,7,1.9,0,NA
1979-01-06,6.1,9,4,86,8,5.9,0,NA
1979-01-07,4.9,11,1,78,8.9,4.3,0,NA
1979-01-08,4.1,8,-1,76,4.9,0.3,0,NA
1979-01-09,10.2,11,7,83,26.8,17.2,NA,NA
1979-01-10,10.3,13,7,84,15.9,5.6,NA,NA
1979-01-11,9.3,12,6,82,19.8,11.7,NA,NA
1979-01-12,4.8,7,1,80,9.9,2,NA,NA
1979-01-13,2.4,7,-1,71,8,2.8,0,NA
1979-01-14,1.3,6,-2,63,10.9,4.5,0,NA
1979-01-15,-0.4,5,-4,62,7,1.5,0,NA
1979-01-16,-0.4,5,-4,67,8,3.7,0,NA
1979-01-17,-0.4,4,-4,69,11.8,5.8,0,NA
1979-01-18,-0.6,6,-6,75,8,2.8,0,NA
1979-01-19,1.6,6,-2,71,8.9,3.3,0,NA
1979-01-20,5.4,9,0,74,NA,0,NA,NA
1979-01-21,9.1,12,6,94,18.8,4.5,NA,NA
1979-01-22,12.4,14,11,80,16.9,9.8,NA,NA
1979-01-23,11.6,14,10,89,15.9,5.1,NA,NA
1979-01-24,11.1,15,8,86,14,4.3,NA,NA
1979-01-25,11.6,13,10,85,15,6.2,NA,NA
1979-01-26,10.1,13,6,79,14,1.9,NA,NA
1979-01-27,13.2,15,11,79,32.8,19.6,NA,NA
1979-01-28,15.6,17,13,72,26.8,15.5,NA,NA
1979-01-29,12,16,8,81,17.9,10.4,NA,NA
1979-01-30,9.2,12,7,79,15,6.7,NA,NA
1979-01-31,6.1,9,3,82,14,4.4,NA,NA
1979-02-01,5.3,12,-1,74,14,3.6,0,NA
1979-02-02,11.2,14,9,76,15.9,8.6,NA,NA
1979-02-03,13,14,11,87,15.9,8.2,NA,NA
1979-02-04,12.6,16,11,86,9.9,2.7,0,NA
1979-02-05,12.3,13,10,88,15,7.9,NA,NA
1979-02-06,10.9,17,7,79,15,5.6,0,NA
1979-02-07,8.9,14,5,81,14,5.1,NA,NA
1979-02-08,9.7,14,7,83,7,1.5,0,NA
1979-02-09,12.1,15,8,80,21,11.5,0,NA
1979-02-10,14.4,18,11,73,23.9,11.7,NA,NA
1979-02-11,15,20,11,61,28,9.8,0,NA
1979-02-12,12.9,15,11,86,10.9,2.2,NA,NA
1979-02-13,11.7,14,10,86,12.8,7.5,NA,NA
1979-02-14,9.5,11,8,86,15,5.3,1,NA
1979-02-15,10.5,14,8,77,17.9,11.8,0,NA
1979-02-16,9.6,11,9,86,24.9,9.7,NA,NA
1979-02-17,9.8,13,8,85,19.8,7.5,NA,NA
1979-02-18,8.8,13,6,80,10.9,3.9,NA,NA
1979-02-19,8.6,13,5,82,7,2,NA,NA
1979-02-20,9.7,14,6,70,8.9,4.5,NA,NA
1979-02-21,7.8,12,3,74,9.9,4.3,0,NA
1979-02-22,7.1,12,4,76,8,2.9,0,NA
1979-02-23,7.3,8,6,78,16.9,4.5,NA,NA
1979-02-24,8.1,11,5,66,18.8,6.8,NA,NA
1979-02-25,7.2,13,3,57,9.9,3.6,0,NA
1979-02-26,3.8,8,0,64,16.9,8.3,0,NA
1979-02-27,1.4,6,-2,72,12.8,5.2,0,NA
1979-02-28,1.5,8,-3,66,7,2.6,0,NA
1979-03-01,6.5,12,1,61,11.8,4.5,NA,NA
1979-03-02,8.6,11,6,81,17.9,6.6,NA,NA
1979-03-03,8.1,13,5,81,8,1.8,0,NA
1979-03-04,8.9,14,4,75,7,2,0,NA
1979-03-05,10,17,3,71,7,1.5,0,NA
1979-03-06,9.9,18,6,73,7,3.1,0,NA
1979-03-07,11.1,16,5,80,8,3,NA,NA
1979-03-08,11.9,14,8,81,12.8,7.6,NA,NA
1979-03-09,9.2,16,4,78,8.9,1.3,0,NA
1979-03-10,11.7,16,7,81,11.8,5.8,0,NA
1979-03-11,10.4,16,5,81,12.8,4.5,0,NA
1979-03-12,11.4,14,7,86,9.9,3.9,0,NA
1979-03-13,12.9,15,10,83,9.9,2.8,0,NA
1979-03-14,13.5,18,8,75,15,6.4,0,NA
1979-03-15,15.5,22,9,59,30.9,15.5,NA,NA
1979-03-16,10.8,14,9,73,18.8,11.3,NA,NA
1979-03-17,11.3,14,8,66,17.9,8.2,0,NA
1979-03-18,13.6,16,12,62,24.9,11.6,0,NA
1979-03-19,11.7,17,6,78,12.8,4,0,NA
1979-03-20,10.7,14,8,84,15,6.1,NA,NA
1979-03-21,12.4,15,8,74,18.8,11.6,NA,NA
1979-03-22,11.6,14,7,82,18.8,10.4,NA,NA
1979-03-23,9.6,15,5,78,11.8,4.5,0,NA
1979-03-24,11.1,17,7,75,9.9,2.7,0,NA
1979-03-25,11,16,5,80,9.9,4.2,0,NA
1979-03-26,14.1,17,10,70,25.8,16.2,NA,NA
1979-03-27,14.6,17,13,86,21,12.2,NA,NA
1979-03-28,12.5,15,10,80,17.9,9.8,NA,NA
1979-03-29,10.1,13,8,65,21,13.1,NA,NA
1979-03-30,7.6,10,5,82,14,4.3,NA,NA
1979-03-31,9.3,13,5,71,12.8,7.1,NA,NA
1979-04-01,9,14,3,72,11.8,3.4,0,NA
1979-04-02,10.4,17,4,67,15,4.2,0,NA
1979-04-03,10.5,16,5,72,9.9,4.8,0,NA
1979-04-04,12.2,15,8,70,15,9.3,NA,NA
1979-04-05,10.3,15,7,84,23.9,8.6,NA,NA
1979-04-06,8.9,13,5,73,18.8,7.7,NA,NA
1979-04-07,8.1,12,5,78,12.8,3.4,NA,NA
1979-04-08,8.9,16,2,72,9.9,1.9,0,NA
1979-04-09,11.3,18,5,74,10.9,2.5,0,NA
1979-04-10,13.4,19,9,72,11.8,2.9,0,NA
1979-04-11,13.8,17,9,74,10.9,3.9,NA,NA
1979-04-12,11.9,13,10,93,7,1.8,NA,NA
1979-04-13,12.6,19,5,80,11.8,2.8,0,NA
1979-04-14,12.4,19,7,85,10.9,2.9,0,NA
1979-04-15,14.3,22,8,75,10.9,2.6,0,NA
1979-04-16,15.1,20,12,71,7,2,NA,NA
1979-04-17,11.6,14,9,91,8,2.4,NA,NA
1979-04-18,11.5,18,7,81,11.8,4.8,NA,NA
1979-04-19,9.9,12,8,87,2.9,0.2,NA,NA
1979-04-20,9.6,13,6,79,8.9,4.2,NA,NA
1979-04-21,9.6,16,3,70,10.9,3,0,NA
1979-04-22,10.8,17,6,78,15,4.1,NA,NA
1979-04-23,10.7,16,4,81,10.9,5.3,NA,NA
1979-04-24,12.7,16,9,83,28,19.6,NA,NA
1979-04-25,13.3,17,10,78,12.8,7.9,NA,NA
1979-04-26,11.6,15,9,78,12.8,7.5,NA,NA
1979-04-27,9.8,13,7,79,9.9,4.7,NA,NA
1979-04-28,10.1,14,7,74,15,6,NA,NA
1979-04-29,9.7,15,4,77,11.8,2.1,0,NA
1979-04-30,10.8,15,5,71,11.8,4.5,NA,NA
1979-05-01,10.8,13,8,85,14,8.6,NA,NA
1979-05-02,12.9,17,10,71,15.9,10.3,NA,NA
1979-05-03,13.6,18,9,70,16.9,10.3,0,NA
1979-05-04,12.2,17,7,69,8,3.5,0,NA
1979-05-05,12.9,19,7,67,10.9,4.2,0,NA
1979-05-06,11.8,17,7,81,9.9,1.5,NA,NA
1979-05-07,13.6,18,9,78,8.9,2.7,NA,NA
1979-05-08,13.4,20,7,69,9.9,3.4,0,NA
1979-05-09,13.6,19,7,66,9.9,2.8,0,NA
1979-05-10,14.9,20,10,67,8,2.4,0,NA
1979-05-11,17.6,25,11,47,14,7,0,NA
1979-05-12,17.2,25,9,49,15.9,7,0,NA
1979-05-13,16.6,23,10,57,14,3.7,0,NA
1979-05-14,16.8,24,10,58,10.9,4.6,0,NA
1979-05-15,16.1,23,9,56,9.9,2.7,0,NA
1979-05-16,16.6,23,12,59,11.8,2.4,0,NA
1979-05-17,15.6,22,9,72,8,2.4,0,NA
1979-05-18,16.8,24,10,62,7,1.9,0,NA
1979-05-19,18.4,25,10,54,9.9,1.6,0,NA
1979-05-20,18.9,26,13,63,11.8,4.6,0,NA
1979-05-21,17.9,24,12,66,12.8,2.9,0,NA
1979-05-22,17.5,25,11,59,10.9,3.7,0,NA
1979-05-23,19.1,26,11,67,8,2.5,0,NA
1979-05-24,19.2,27,13,64,15.9,6.1,0,NA
1979-05-25,18.3,24,12,79,11.8,3.7,0,NA
1979-05-26,20.2,27,15,73,11.8,2.5,NA,NA
1979-05-27,20.1,27,14,65,8,2.2,0,NA
1979-05-28,20.3,27,14,65,9.9,2.9,0,NA
1979-05-29,21.1,29,12,60,8,2.4,0,NA
1979-05-30,22.4,30,14,65,9.9,3,0,NA
1979-05-31,22,28,16,63,11.8,4.1,0,NA
1979-06-01,22.1,29,15,67,8.9,2.5,0,NA
1979-06-02,23,31,16,66,12.8,3.8,NA,NA
1979-06-03,23.7,31,15,62,8.9,2.7,0,NA
1979-06-04,24.4,32,18,62,9.9,3.2,0,NA
1979-06-05,24,31,16,63,8.9,3.1,0,NA
1979-06-06,23.2,30,17,66,10.9,3.2,0,NA
1979-06-07,20.2,25,17,81,11.8,3.3,NA,NA
1979-06-08,20.9,26,17,79,9.9,1.8,0,NA
1979-06-09,22.1,27,17,76,8.9,2,0,NA
1979-06-10,23.1,30,18,69,8.9,2.3,0,NA
1979-06-11,23,31,15,62,8.9,2.6,0,NA
1979-06-12,22.9,30,16,66,3.9,0.5,0,NA
1979-06-13,22.7,28,17,66,8.9,2.7,0,NA
1979-06-14,22.4,27,19,74,NA,NA,NA,NA
1979-06-15,19.2,23,15,78,9.9,5.9,NA,NA
1979-06-16,17.8,20,14,68,15,6.7,NA,NA
1979-06-17,16.7,21,13,63,12.8,6.6,0,NA
1979-06-18,17.1,23,9,66,10.9,2.8,0,NA
1979-06-19,18.1,24,12,62,12.8,4.8,0,NA
1979-06-20,16.5,22,11,76,9.9,2.5,NA,NA
1979-06-21,17.6,24,11,73,11.8,3.7,0,NA
1979-06-22,20.4,27,14,65,9.9,2.7,0,NA
1979-06-23,20.7,25,15,76,9.9,3.7,0,NA
1979-06-24,21.3,27,14,72,8.9,2.7,0,NA
1979-06-25,22.6,29,17,71,9.9,2.6,0,NA
1979-06-26,22.9,30,16,64,7,2.3,0,NA
1979-06-27,23.3,31,16,63,8.9,1.9,0,NA
1979-06-28,24,32,15,63,9.9,2,0,NA
1979-06-29,24.3,32,19,63,11.8,3.2,NA,NA
1979-06-30,24.1,30,18,75,10.9,3.4,0,NA
1979-07-01,23.6,28,19,70,9.9,3.2,0,NA
1979-07-02,22.4,28,18,73,12.8,5.3,0,NA
1979-07-03,20.6,23,18,74,8,2.3,NA,NA
1979-07-04,21,28,15,65,10.9,3.6,0,NA
1979-07-05,20.4,26,15,64,8,3.8,NA,NA
1979-07-06,20.4,27,14,68,12.8,3.4,NA,NA
1979-07-07,20.2,27,12,60,8,2.7,0,NA
1979-07-08,21.7,27,15,65,15,6,0,NA
1979-07-09,22.9,30,16,62,14,4,0,NA
1979-07-10,23.7,29,19,68,9.9,4,0,NA
1979-07-11,23.1,37,17,69,12.8,2.8,0,NA
1979-07-12,24.9,32,18,57,12.8,4.8,0,NA
1979-07-13,26.1,32,21,53,14,9.3,0,NA
1979-07-14,24.3,29,20,71,9.9,4.4,0,NA
1979-07-15,24.7,31,18,66,10.9,3,0,NA
1979-07-16,24.7,31,19,67,9.9,3.1,0,NA
1979-07-17,22.8,28,17,75,15.9,3.4,NA,NA
1979-07-18,21.9,30,14,68,8,2.8,0,NA
1979-07-19,23.7,31,15,59,8,2.5,0,NA
1979-07-20,24,29,17,63,14,6.8,NA,NA
1979-07-21,25.8,30,20,72,17.9,8.6,0,NA
1979-07-22,24.1,29,20,77,12.8,4,0,NA
1979-07-23,23.8,30,19,75,14,4.1,0,NA
1979-07-24,23.2,29,18,69,9.9,4.2,0,NA
1979-07-25,23.2,30,16,65,12.8,3.7,0,NA
1979-07-26,24.2,31,18,56,8.9,3.1,0,NA
1979-07-27,24.4,32,17,59,10.9,2.9,0,NA
1979-07-28,25.5,32,18,66,10.9,2.7,0,NA
1979-07-29,25.6,32,20,67,8.9,2.6,0,NA
1979-07-30,25.8,32,19,68,14,6.3,0,NA
1979-07-31,26,33,20,52,15,5.9,0,NA
1979-08-01,27.6,31,22,55,24.9,13.1,0,NA
1979-08-02,25.6,31,22,74,8,2.3,0,NA
1979-08-03,26.3,34,19,64,12.8,3,0,NA
1979-08-04,26.3,33,18,59,7,2.5,0,NA
1979-08-05,27.4,35,18,61,10.9,2.7,0,NA
1979-08-06,26.4,34,19,63,11.8,3.2,0,NA
1979-08-07,26.7,33,20,61,9.9,3,0,NA
1979-08-08,26.2,32,19,66,11.8,4.1,0,NA
1979-08-09,23.8,28,16,78,17.9,5.8,NA,NA
