"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,5.4,12,-1,44,25.8,11.6,0,NA
1979-01-02,-3.3,4,-7,41,22.9,2.4,0,NA
1979-01-03,-2.6,5,-10,62,12.8,0.6,0,NA
1979-01-04,-3.6,3,-5,89,NA,0,3,NA
1979-01-05,-5.2,-5,-6,96,NA,0,0,NA
1979-01-06,-4.6,2,-9,87,NA,0,0,NA
1979-01-07,-3.6,4,-8,85,18.8,0,0,1035.3
1979-01-08,-2.6,2,-8,87,NA,0,0,NA
1979-01-09,-1.6,1,-4,94,NA,0,5.1,NA
1979-01-10,-2.3,1,-5,94,6,0.2,0,NA
1979-01-11,1.2,8,-3,72,8.9,1.1,1,NA
1979-01-12,3.6,8,-2,41,16.9,6.2,0,NA
1979-01-13,0.4,7,-6,44,18.1,3.4,0,1014.6
1979-01-14,-3.1,5,-9,62,5.1,0.4,0,NA
1979-01-15,-3.1,5,-10,65,1.9,0.1,0,NA
1979-01-16,-4.7,5,-10,72,NA,0,0,1023.6
1979-01-17,-4.4,1,-9,81,2.9,0.1,0,NA
1979-01-18,-3.6,3,-6,91,NA,0,0.5,NA
1979-01-19,-2.5,2,-6,85,NA,0,0,NA
1979-01-20,-0.3,3,-5,80,2.9,0,0,NA
1979-01-21,0.6,4,-2,88,NA,0,0,NA
1979-01-22,0.9,2,0,97,NA,0,2,NA
1979-01-23,2.4,5,1,96,NA,0,6.1,NA
1979-01-24,2.9,6,1,93,NA,0,0,NA
1979-01-25,1.8,7,-2,83,NA,0,0,NA
1979-01-26,-1.7,5,-5,92,NA,0,0,NA
1979-01-27,1.4,3,-3,91,NA,0,0.5,NA
1979-01-28,3.2,8,1,92,NA,0,3.3,NA
1979-01-29,6.6,12,2,68,17.1,1.2,0,NA
1979-01-30,2.2,9,-1,83,4.9,0.6,0,NA
1979-01-31,4.2,13,-3,56,11.8,1.2,0,NA
1979-02-01,2.2,8,-2,67,4.9,0.4,0,1017.3
1979-02-02,1.9,8,-2,83,NA,0,0,NA
1979-02-03,2.5,10,-2,85,NA,0,0,NA
1979-02-04,2.8,11,-3,85,NA,0,0,NA
1979-02-05,4.4,9,1,89,NA,0,0,NA
1979-02-06,5.5,16,-1,79,5.8,0.2,0,NA
1979-02-07,3.9,5,2,89,2.9,0.2,4.1,NA
1979-02-08,2.8,7,-1,91,NA,0,0,NA
1979-02-09,3.8,5,2,92,NA,0,0,NA
1979-02-10,4.6,8,2,92,2.9,0.1,0.3,NA
1979-02-11,4.4,6,1,95,7,1.1,18,NA
1979-02-12,4.5,11,0,89,NA,0,14,NA
1979-02-13,6.6,14,-1,80,2.9,0.4,0,NA
1979-02-14,7.6,11,5,89,NA,0,0,NA
1979-02-15,6.1,9,3,91,4.9,0.4,0,996
1979-02-16,6.5,9,5,91,8,2.7,18,NA
1979-02-17,6.7,8,6,93,12.8,4.6,27.9,NA
1979-02-18,8.1,13,4,84,7,1.1,4.1,NA
1979-02-19,4.6,6,4,91,4.1,0.4,0.3,NA
1979-02-20,3.9,7,0,85,3.9,0.2,3.3,NA
1979-02-21,1.6,5,-2,82,NA,0,0,NA
1979-02-22,0.8,6,-4,81,NA,0,0,NA
1979-02-23,0.1,2,-2,95,1.9,0.1,2,NA
1979-02-24,2.4,8,-2,77,NA,0,0,NA
1979-02-25,3.4,10,-2,68,3.9,0.1,0,NA
1979-02-26,2.1,5,-2,75,2.9,0.2,0,NA
1979-02-27,1.3,5,-3,62,NA,0,0,NA
1979-02-28,0,5,-5,74,2.9,0.1,1,NA
1979-03-01,0.7,3,-1,91,NA,0,4.1,NA
1979-03-02,3,10,-4,77,1.9,0.1,0,NA
1979-03-03,5.4,15,-2,67,NA,0,0,NA
1979-03-04,7.3,16,0,69,1.9,0.1,0,NA
1979-03-05,8.8,15,2,67,NA,0,0,NA
1979-03-06,10.6,14,7,68,2.9,0.2,0,NA
1979-03-07,8.8,15,4,74,3.9,0.2,0,NA
1979-03-08,8.4,16,0,55,3.9,0.2,0,NA
1979-03-09,6.5,10,3,73,2.9,0.2,0,NA
1979-03-10,7.9,16,2,68,5.8,0.2,0,NA
1979-03-11,6.8,9,3,80,4.1,0.3,0,NA
1979-03-12,7.9,15,2,78,1.9,0.1,0,NA
1979-03-13,9.5,25,5,84,2.9,0.1,0,NA
1979-03-14,10.2,12,9,89,4.9,0.3,0.3,NA
1979-03-15,7.8,9,7,94,9.9,3.7,62,NA
1979-03-16,8.7,13,5,53,22,4.1,14.5,NA
1979-03-17,6.9,13,0,60,3.9,0.4,0,NA
1979-03-18,6,7,3,91,2.9,0.1,5.1,NA
1979-03-19,6.2,12,0,86,4.9,0.6,0,NA
1979-03-20,5.9,10,4,89,19.8,2.3,19.3,NA
1979-03-21,8.1,14,2,78,2.9,0.4,0,NA
1979-03-22,9.8,15,6,73,2.9,0.5,0,NA
1979-03-23,8.8,14,3,75,2.9,0.3,0,NA
1979-03-24,10.2,16,4,81,1.9,0.2,0,NA
1979-03-25,8.6,11,7,86,19.8,1.8,6.1,1020.2
1979-03-26,8.7,11,8,84,2.9,0.6,14,NA
1979-03-27,10.1,15,8,78,NA,0,0,NA
1979-03-28,7.2,9,3,89,8,1.1,6.1,NA
1979-03-29,7.6,14,3,52,13,3.9,0.5,NA
1979-03-30,7.6,15,2,55,4.1,0.5,0,NA
1979-03-31,8.5,16,0,61,10.9,0.3,0,NA
1979-04-01,10.1,15,6,68,2.9,0.1,0.3,NA
1979-04-02,10.1,15,6,68,4.9,0.2,0,NA
1979-04-03,8.1,14,3,79,7,0.7,0,NA
1979-04-04,7.9,15,1,57,5.8,0.9,0,NA
1979-04-05,5.4,10,-1,74,8,1.5,0,NA
1979-04-06,6.6,10,2,61,8,3.1,0,NA
1979-04-07,9.3,16,-2,39,3.9,0.3,0,NA
1979-04-08,8.9,17,0,52,5.8,0.6,0,1013.5
1979-04-09,9.8,15,3,64,2.9,0.3,0,NA
1979-04-10,12.2,16,7,57,1.9,0.1,0,NA
1979-04-11,8.4,11,7,84,7,1.3,9.9,NA
1979-04-12,11.1,17,6,73,1.9,0.1,0,NA
1979-04-13,11.5,18,5,73,7,1.4,0,NA
1979-04-14,13.6,19,10,68,8,1,3,1017
1979-04-15,14.7,22,7,62,2.9,0.2,0,1020.4
1979-04-16,14.9,20,8,65,7,1.4,0,NA
1979-04-17,8.8,11,5,87,5.1,0.8,5.1,NA
1979-04-18,11.3,19,3,64,7,1.1,0,NA
1979-04-19,8.6,12,4,81,8,1.2,0,NA
1979-04-20,10.4,16,7,72,NA,0,0,NA
1979-04-21,10.8,17,3,74,1.9,0.2,0,NA
1979-04-22,10.9,16,7,75,5.8,0.3,0.5,NA
1979-04-23,9.6,15,5,87,2.9,0.4,2,NA
1979-04-24,10.9,16,7,86,3.9,0.5,1,NA
1979-04-25,8.9,17,3,78,19.8,1.1,0,NA
1979-04-26,7.8,11,3,83,5.8,0.9,0.3,NA
1979-04-27,9.9,15,5,70,8,0.7,6.1,NA
1979-04-28,11.4,19,3,66,15,1.2,0,NA
1979-04-29,10.8,15,7,76,1.9,0,3,NA
1979-04-30,11.9,16,6,77,NA,0,0,NA
1979-05-01,13.3,18,10,78,NA,0,0,NA
1979-05-02,13.6,21,9,57,23.9,6.5,0,NA
1979-05-03,10.4,16,5,31,15.9,6.8,0,NA
1979-05-04,9.5,15,0,53,7,1.1,0,NA
1979-05-05,9.9,17,1,58,15,0.6,0,NA
1979-05-06,10.9,17,4,66,3.9,0.8,0,NA
1979-05-07,12.8,17,9,66,1.9,0.1,0,NA
1979-05-08,14.1,19,10,64,7,0.7,3,NA
1979-05-09,14.8,22,6,60,1.9,0.1,0,NA
1979-05-10,16.7,24,7,53,2.9,0.3,0,NA
1979-05-11,17.6,25,8,57,2.9,0.4,50,NA
1979-05-12,19.6,27,9,55,4.9,0.2,0,NA
1979-05-13,19.1,26,12,53,4.1,0.9,0,NA
1979-05-14,17.6,23,12,67,29.9,0.7,0,NA
1979-05-15,17.4,24,9,64,3.9,0.8,0,NA
1979-05-16,19.3,24,11,60,2.9,0.5,0,NA
1979-05-17,17.2,22,12,71,1.9,0.2,0,NA
1979-05-18,17,21,14,71,7,1.7,0,NA
1979-05-19,19.4,25,12,63,4.1,0.3,0,NA
1979-05-20,14.8,18,10,84,8,1.9,8.9,NA
1979-05-21,15.2,22,8,66,5.8,0.9,0.3,NA
1979-05-22,17.4,23,11,68,NA,0,0,NA
1979-05-23,18.8,25,12,69,4.1,0.6,0,NA
1979-05-24,17.1,22,12,66,6,1.9,0,NA
1979-05-25,16.8,23,10,67,8.9,0.5,0,NA
1979-05-26,17.4,22,13,67,8,1.7,0,NA
1979-05-27,15.4,19,12,84,5.8,0.9,1,NA
1979-05-28,18.3,25,7,71,1.9,0.1,0,NA
1979-05-29,21.2,28,13,64,2.9,0.1,0,NA
1979-05-30,22.7,29,14,63,2.9,0.2,0,NA
1979-05-31,23.2,28,18,63,3.9,0.3,0.3,NA
1979-06-01,22.8,29,16,70,4.9,0.2,0,1019.2
1979-06-02,19.3,21,17,82,4.9,1,16,NA
1979-06-03,21.3,26,14,73,4.1,1,0,NA
1979-06-04,22.4,29,16,62,16.9,1.7,0,NA
1979-06-05,20.5,26,15,70,7,1.3,5.1,NA
1979-06-06,18.7,24,17,82,6,0.6,7.9,NA
1979-06-07,20.2,24,16,78,4.9,0.8,0,NA
1979-06-08,21.1,26,16,77,2.9,0.3,0.3,NA
