"date","tmed","tmax","tmin","rhum","vmax","vmed","prec","slp"
1979-01-01,4.3,6,2,86,29.9,6,0,991.9
1979-01-02,-2.1,1,-7,39,35,14.4,0,1012.6
1979-01-03,-6.7,-1,-10,77,3.9,0.3,0,1019.6
1979-01-04,-5.1,-3,-8,91,8,1.1,1,1013.1
1979-01-05,-5.1,-1,-10,93,8,1.3,0,1016
1979-01-06,-4.9,-1,-9,89,5.8,0.8,0,1025
1979-01-07,-7.4,-1,-11,90,NA,0,0,1035.3
1979-01-08,-7.1,-2,-12,97,1.9,0.1,0,1034.4
1979-01-09,-0.8,1,-2,99,NA,0,21.1,1020.8
1979-01-10,0,1,-1,94,9.9,7.8,8.9,1005.5
1979-01-11,0,3,-4,90,25.1,8.5,7.1,990.1
1979-01-12,-3.9,1,-7,88,4.1,0.3,0,999.2
1979-01-13,-2.7,4,-9,73,8,1.5,0,1011.1
1979-01-14,1.6,8,-2,44,13,6.9,0,1021.8
1979-01-15,1.1,9,-12,45,15,5,0,1022.8
1979-01-16,-2.6,2,-7,71,6,0.6,0,1022.2
1979-01-17,-2.2,2,-8,88,8,0.9,0,1022.3
1979-01-18,-1.9,2,-7,76,5.8,0.3,0,1024.6
1979-01-19,-4.8,0,-20,89,2.9,0.1,0,1026.6
1979-01-20,-1.3,3,-7,93,NA,0,0,1024.2
1979-01-21,0.7,2,0,96,NA,0,1.3,1024.3
1979-01-22,1.4,3,1,96,NA,0,2,1023.6
1979-01-23,2.4,4,1,100,NA,0,6.1,1015.4
1979-01-24,2.1,3,1,96,NA,0,2.3,1006
1979-01-25,2.6,5,1,96,NA,0,0,1002.8
1979-01-26,0.9,2,-2,99,NA,0,0,1005.5
1979-01-27,2.9,4,1,98,5.8,0.3,14,1003.9
1979-01-28,4.8,7,3,99,7,0.3,1.3,995.8
1979-01-29,5.4,7,4,98,17.9,2.7,6.1,996.9
1979-01-30,3.6,8,-2,92,9.9,1.9,0,1003.7
1979-01-31,4.9,10,2,77,15,4.2,0,1009.7
1979-02-01,1.7,6,-4,83,4.9,0.2,0,1015.9
1979-02-02,4.2,5,3,97,5.1,0.3,5.1,1009.1
1979-02-03,4.7,6,4,96,4.9,0.2,0.5,1006.8
1979-02-04,3.9,7,-1,99,5.8,0.3,0,1006.1
1979-02-05,5.7,8,5,98,9.9,1.5,4.1,998.3
1979-02-06,4.2,7,2,98,10.9,2.1,0,1004.4
1979-02-07,4.6,7,2,89,12,4.1,1,1009.7
1979-02-08,4.3,7,3,94,5.8,0.9,0.3,1006.5
1979-02-09,4.3,6,3,96,2.9,0.1,0,1009
1979-02-10,4.7,6,3,97,5.1,0.8,15,999.4
1979-02-11,6.9,10,3,89,19.8,8.9,1,999.6
1979-02-12,8.1,10,7,97,10.9,1.6,2,993.7
1979-02-13,6.9,10,4,97,8,3,0,992.7
1979-02-14,6.6,8,6,97,NA,0,5.1,993.6
1979-02-15,6.7,9,4,91,5.8,1.2,0,997.8
1979-02-16,7.9,10,6,88,49.9,19.6,10.9,1003.6
1979-02-17,9.1,10,8,84,39.8,20.8,7.9,1004.9
1979-02-18,6,9,4,86,19.8,6.5,0.8,1008.5
1979-02-19,4.7,6,3,86,10.9,1.5,5.1,1016.5
1979-02-20,6.3,10,4,59,14,5.7,0,1026.1
1979-02-21,4,7,1,52,14,5.3,0,1028
1979-02-22,2.1,7,-3,72,4.9,0.6,0,1025.8
1979-02-23,2.6,7,-2,63,15,3.8,0,1023.2
1979-02-24,3.7,9,0,60,19.8,6.8,0,1026.3
1979-02-25,3.8,8,-1,64,5.8,2,0,1028.5
1979-02-26,2.7,7,-2,62,17.1,1.7,0,1028.7
1979-02-27,2.2,7,-2,64,4.1,0.4,0,1025.1
1979-02-28,0.2,5,-5,87,9.9,2.3,1,1017.2
1979-03-01,3.2,6,0,84,8,2.5,6.1,1018
1979-03-02,6.3,11,3,69,4.9,1,0,1026.8
1979-03-03,6.8,13,1,66,4.1,1.3,0,1029.8
1979-03-04,8.6,15,1,66,2.9,0.4,0,1028.8
1979-03-05,8.8,15,2,71,5.8,0.8,0,1024.4
1979-03-06,9.6,15,5,73,9.9,1.8,0,1021
1979-03-07,9.9,15,5,78,4.9,0.8,0,1017.2
1979-03-08,8.9,12,6,81,7,2.5,4.3,1018.5
1979-03-09,8.6,12,4,74,4.9,1,0,1020.8
1979-03-10,8.1,12,5,81,8.9,1.7,0,1008.3
1979-03-11,8.3,11,5,71,9.9,3.4,0,1011.5
1979-03-12,8.1,10,6,80,4.9,0.5,0,1012.1
1979-03-13,9.9,13,8,83,NA,0,0,1013.6
1979-03-14,11.4,15,9,82,7,1.5,0,1010.4
1979-03-15,11,13,5,87,29.9,18.1,3,1002.3
1979-03-16,10.9,14,6,73,26,9.5,7.6,992.4
1979-03-17,9.5,14,3,66,11.8,1.9,0,1003.9
1979-03-18,8.6,11,6,86,17.9,4.2,3,1005.3
1979-03-19,9.7,13,8,84,8,1.1,0.5,1005.2
1979-03-20,10.3,13,7,78,23.9,8.7,2.5,1004.3
1979-03-21,8.9,13,4,79,5.8,0.9,1.3,1008.7
1979-03-22,9.1,13,7,84,12,3.4,4.1,1012.3
1979-03-23,10.2,15,5,77,7,1.9,0,1015
1979-03-24,10.4,15,6,79,3.9,0.6,0,1017.7
1979-03-25,10.1,13,7,87,5.8,1.1,0,1020.3
1979-03-26,9.9,11,8,91,12.8,5.6,15,1011.4
1979-03-27,10.3,14,8,86,5.8,0.8,4.1,1002.5
1979-03-28,9.2,11,6,88,22,8.7,0,996.3
1979-03-29,6.6,9,5,88,12.8,2.8,7.9,991.2
1979-03-30,6.7,12,3,78,8,2.6,0.3,997.5
1979-03-31,8.2,14,1,75,11.8,1.2,0,1003.8
1979-04-01,9.3,13,7,82,9.9,2.2,1,1008.5
1979-04-02,10.1,17,5,68,4.9,0.6,0.5,1008.8
1979-04-03,9.6,14,4,70,15,3.4,0,1002.1
1979-04-04,9.6,15,6,68,12.8,5.2,0.3,1001.3
1979-04-05,4.9,8,3,91,11.1,3.3,21.1,1006.5
1979-04-06,7.2,16,3,80,9.9,4,0.5,1002.4
1979-04-07,9.5,15,5,57,15.9,7.2,0,1006.1
1979-04-08,9.1,16,3,61,5.8,1.2,0,1012.7
1979-04-09,9.7,16,4,73,5.8,1.6,0,1015.2
1979-04-10,11.1,16,5,74,5.8,1.8,0,1012.8
1979-04-11,11.3,17,9,76,19.8,5.9,0.5,1009.2
1979-04-12,10.7,14,8,83,15.9,7.2,8.9,1011.3
1979-04-13,12.6,18,7,67,7,1.3,0,1015.9
1979-04-14,13.4,19,5,60,2.9,0.3,0,1016.4
1979-04-15,13.2,19,6,69,8,1.5,0,1020.7
1979-04-16,13.3,18,8,74,7,1.1,0,1018.9
1979-04-17,11.7,14,10,85,19.8,4.2,5.1,1008.6
1979-04-18,11.9,15,10,80,8,2.5,2.3,1011.7
1979-04-19,9.4,11,6,70,15.9,7.6,0,1021
1979-04-20,8.8,13,4,61,15,3,0,1020.2
1979-04-21,9.9,16,4,68,3.9,0.8,0,1014.9
1979-04-22,12.1,16,0,66,4.9,0.9,0,1012.9
1979-04-23,10.8,15,6,78,2.9,0.1,0,1012.7
1979-04-24,10.9,12,10,92,15,6.3,19,1003.4
1979-04-25,11.5,16,6,76,8,2,0,1004.7
1979-04-26,9.3,14,7,84,7,2.7,7.1,1009.7
1979-04-27,10.2,14,7,79,15,1.4,0.5,1012.5
1979-04-28,10.1,14,8,86,8,2.4,17,1012
1979-04-29,11,14,7,78,7,1.3,5.3,1012.9
1979-04-30,11.5,15,8,79,8,1.6,0.3,1012.3
1979-05-01,12.2,17,8,80,9.9,1.6,0,1009.4
1979-05-02,12.7,18,10,75,39.8,10.6,0,1004.1
1979-05-03,10.4,15,6,52,17.9,7.8,0,1007.9
1979-05-04,9,15,2,70,8.9,3.3,2,1014.5
1979-05-05,10.6,15,6,65,17.9,6.4,0.5,1016.3
1979-05-06,13,20,0,50,15,6,0,1019.9
1979-05-07,13.7,18,5,55,12.8,3.7,0,1019.8
1979-05-08,14.4,19,8,60,2.9,0.1,0,1021.1
1979-05-09,15.6,20,9,58,8,2.4,0,1018.7
1979-05-10,16.6,23,8,57,8.9,2.2,0,1019.2
1979-05-11,18.2,23,13,54,8,1.6,0,1021.6
1979-05-12,19.7,25,11,63,9.9,2.3,0,1018.7
1979-05-13,17.9,24,12,64,9.9,3.2,0,1022.8
1979-05-14,19.3,24,11,54,5.8,1.1,0,1024.8
1979-05-15,16.7,23,12,63,8.9,2.6,0,1022.1
1979-05-16,18.1,25,10,61,4.9,1,0,1017.6
1979-05-17,19.3,25,11,59,6,1.7,0,1014.9
1979-05-18,20.1,25,14,63,4.9,1,0,1016.4
1979-05-19,20.6,26,14,65,3.9,1.3,0,1017.9
1979-05-20,21.7,29,14,63,19.8,5.7,0,1016.1
1979-05-21,17.4,23,12,63,14,4.5,1.3,1018.3
1979-05-22,18.4,25,11,64,5.8,1.4,0,1018.9
1979-05-23,18.9,27,13,68,8.9,1,0,1015.8
1979-05-24,21.7,29,15,57,8,2.5,0,1010.1
1979-05-25,19.2,24,15,62,11.8,2.8,0,1012.4
1979-05-26,21.4,27,13,61,8,2.9,0,1015.7
1979-05-27,18.6,23,15,85,5.8,1.1,2,1014.8
1979-05-28,20.7,27,13,71,11.8,2.4,0,1016.8
1979-05-29,23.6,28,15,59,4.9,1.4,0,1020.8
1979-05-30,23.3,29,13,65,10.9,3.1,0,1017
1979-05-31,22.7,28,16,60,5.8,2.6,0,1016.8
1979-06-01,26.1,31,18,56,24.9,1.5,0,1018.6
1979-06-02,23.9,28,19,65,11.8,3.5,0,1020.4
1979-06-03,24.4,30,19,61,8,2.4,0,1020.6
1979-06-04,24.1,31,18,62,7,2.4,0,1017.1
1979-06-05,22.5,31,17,74,11.8,5.2,0.5,1015.1
1979-06-06,21.1,26,17,77,7,1.3,5.6,1016.1
1979-06-07,20.6,26,17,75,14,2.5,0.3,1016.6
1979-06-08,21.9,27,16,71,7,1.5,0,1015.8
1979-06-09,23,27,19,77,8,2,0.3,1015.7
1979-06-10,23.8,29,18,69,7,2.1,0,1017.1
1979-06-11,23.4,29,16,66,4.9,1.3,0,1019.2
1979-06-12,23.3,28,18,70,8,1.5,0,1018.1
1979-06-13,24.1,30,19,67,11.8,2.6,0,1012
1979-06-14,21,25,17,77,15,4.2,16,1007.4
1979-06-15,19.2,25,14,67,22,4.3,2,1006.7
1979-06-16,13.8,16,12,88,8.9,2.9,46,1006.5
1979-06-17,17.3,21,12,65,10.9,3.5,0,1013.1
1979-06-18,17.7,24,14,71,14,2.1,4.1,1016.2
1979-06-19,16.4,21,11,76,4.9,1,0.3,1016.7
1979-06-20,18.2,23,13,67,7,1.8,0,1014.2
1979-06-21,20.3,27,14,71,4.9,0.9,0,1011.7
1979-06-22,22.9,28,17,63,15,2.9,0,1010.7
1979-06-23,21.3,27,16,71,17.9,4.3,15,1011.1
1979-06-24,22.9,28,16,66,3.9,0.9,0,1012.2
1979-06-25,25.1,29,19,68,7,1.5,0,1014.3
1979-06-26,24.4,29,19,71,4.9,0.7,0,1016.6
1979-06-27,23.9,28,20,73,5.8,1.3,0,1016.9
1979-06-28,24.3,29,19,70,7,1.4,0,1014.8
1979-06-29,24.5,29,19,71,4.9,0.8,0,1014.4
1979-06-30,24.8,29,20,69,19.8,3.5,0,1011.2
1979-07-01,20.3,23,18,77,22,10.1,7.9,1012.8
1979-07-02,17.2,19,16,81,12.8,6.3,11.9,1012
1979-07-03,16.7,19,14,76,5.8,1,5.3,1015.3
1979-07-04,17.4,22,13,73,18.8,3.1,0,1018.9
