"Date","Max.TemperatureC","Mean.TemperatureC","Min.TemperatureC","Dew.PointC","MeanDew.PointC","Min.DewpointC","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressurehPa","Mean.Sea.Level.PressurehPa","Min.Sea.Level.PressurehPa","Max.VisibilityKm","Mean.VisibilityKm","Min.VisibilitykM","Max.Wind.SpeedKm.h","Mean.Wind.SpeedKm.h","Max.Gust.SpeedKm.h","Precipitationmm","CloudCover","Events","WindDirDegrees"
2012-12-05,8,5,3,4,-1,-9,89,70,18,NA,NA,NA,31,16,8,27,14,NA,0,NA,"",-1
2012-12-06,5,1,-2,0,-2,-6,95,74,56,NA,NA,NA,31,23,14,0,0,NA,0,NA,"",-1
2012-12-07,6,2,-1,2,-6,-12,84,51,16,NA,NA,NA,19,15,3,13,3,NA,1.02,NA,"",-1
2012-12-08,4,3,1,4,2,-1,100,90,80,NA,NA,NA,8,7,6,19,14,NA,0,8,"Rain",-1
2012-12-09,-2,-2,-3,-1,-3,-4,99,95,89,NA,NA,NA,11,7,2,55,31,NA,2.03,8,"Snow",-1
2012-12-10,4,1,-3,3,-3,-14,87,64,22,NA,NA,NA,19,14,8,8,5,NA,4.06,8,"",-1
2012-12-11,2,0,-2,-1,-5,-8,91,63,36,NA,NA,NA,31,14,0,26,6,NA,0.51,8,"Snow",-1
2012-12-12,2,-1,-3,-3,-4,-4,85,76,58,NA,NA,NA,16,15,14,8,3,NA,0,NA,"",-1
2012-12-13,4,1,-3,-5,-6,-8,71,52,27,NA,NA,NA,26,21,18,2,0,NA,0,NA,"",-1
2012-12-14,7,4,2,6,4,3,92,85,78,NA,NA,NA,19,12,6,19,14,NA,7.11,8,"Rain",-1
2012-12-15,10,8,7,7,6,4,87,73,58,NA,NA,NA,11,10,6,19,13,NA,0,8,"Rain",-1
2012-12-16,12,10,8,8,6,4,90,69,51,NA,NA,NA,18,15,13,26,13,NA,0,8,"",-1
2012-12-17,12,9,6,7,6,5,100,83,54,NA,NA,NA,19,14,11,19,14,NA,2.03,8,"Rain",-1
